,id,neg_model,pos_model,text,class
0,4795,0.049832374,0.9501676,Are You Unemployed? Want to Learn Social Media while you are looking? http://t.co/I7Pn3UwtpH  Earn while you learn,1
1,2390,0.91315925,0.08684076,Who hiring ??,0
2,2218,0.22267492,0.7773251,Officially unemployed. Can anyone recommend a good soap opera? Please summarize story up to now. Thx.,0
3,2577,0.0331291,0.96687096,Looking to make a difference? Make a difference with us! Home Health and Hospice positions available https://t.co/BtEq4L6aPY https://t.co/We9bmXrRBc,1
4,7672,0.92983574,0.07016421,Got hired today!!!,0
5,4778,0.036792126,0.96320784,RT @womenbiznetwork: Ready Set Action! Searching for a New #Job http://t.co/AM52tdIj51 via @ItsJustTami #unemployed,0
6,7180,0.04839585,0.9516042,Hilton Worldwide posted a job you might be interested in: Senior Sales Manager - Embassy Suites Orlando International Drive - Orlando Fl...,1
7,3806,0.9404137,0.059586246,brb gotta go throw up before i talk to these kids about being unemployed,0
8,2023,0.9396393,0.060360733,5 other people got hired the same time as me this week and by today ( the 3rd day) I was the only one to show up to work haha,0
9,1073,0.9435632,0.056436773,Currently begging nick to come back so I can get a job. Am I cray? NO. 😩😅,0
10,5901,0.8416127,0.15838724,Hi Dorothysorry I missed your greeting this morningI was just hired yesterday for another temp job-start tomorrow https://t.co/zutSNPqclg,0
11,1640,0.94790506,0.052094966,last resort is to give up searching quit my current pt job and go work ft thru the temp agency....,0
12,3062,0.93600583,0.06399418,Just started my new job today. Im working at a movie theater cleaning up after the movies get out. Found 2 small popcorns wedges under,0
13,5488,0.04208349,0.9579165,Are You Looking for a Job?If you were laid off or are looking to enhance your career National Able Network can... http://t.co/CgYiDGZHlh,1
14,4455,0.93255144,0.06744852,anyone that works at a cool place know if ur hiring?? im quitting my job,0
15,2711,0.029394533,0.97060543,#Job #Austin Tutor Positions-Sylvan Learning(South Austin) (South Austin): Sylvan Learning is looking for dyna... http://t.co/fQYfrKO0rm,1
16,6437,0.93955857,0.060441427,Quit my job left Jarred and hit some old mans car today iyyyyiiiyi,0
17,5043,0.94415474,0.055845283,One of my managers took me off the schedule for a whole week or fired meBut just got a new job offer from a different place god is good,0
18,3745,0.03007255,0.9699275,Looking for a more rewarding #career? EDGE Career Solutions can help you set and achieve your goals. https://t.co/h00Y5FN4kE #success,1
19,3140,0.9345342,0.06546574,My uncle told me since I lost my job if Im not working soon I can come back to the jungle. I responded by getting one fast cuz I never quit!,0
20,2134,0.030713536,0.96928644,Searching for #work in Pontiac MI? Send your #resume to Senior Village Management. http://t.co/i78YVs4Tbi #gethired,1
21,5325,0.940865,0.059135094,Boyyyyy who hiring??? Im finna quit this shit ASAP!,0
22,2542,0.03245383,0.96754616,Looking for summer employment? Colorados Glenwood Caverns has open positions: https://t.co/cUXA69Uhb0 https://t.co/5LJQhAcXAq,1
23,7014,0.9393965,0.060603455,So I got fired today..,0
