,neg_model,pos_model,text,dist_point0.725
698469,0.27499992,0.725,@__jass Yo If Yu Aint Herd Already Well Then Hit up TheNew Hot @DeJLoaf track #ReTweet #Repost #Share @ https://t.co/ZGvcGaCEPW,0.0
6420226,0.27500007,0.7249999,RT @JaredGoff16: .@Money23Green is my favorite player ever #GoDubs,9.999999994736442e-08
6801000,0.27500015,0.72499985,#tbt watching #promnight @lindenashby 👌,1.4999999997655777e-07
8061317,0.2749998,0.7250002,9 piece straight 8balls m.j.g Beech i got 8balls,2.0000000000575113e-07
6267938,0.2749997,0.72500026,@gttjr thanks! And for sure!,2.599999999741698e-07
489088,0.27499953,0.7250005,If the ball bounces and touches like 3 cups before going into the cup all the cups touched are out,5.00000000069889e-07
7755512,0.27500063,0.72499937,“@_mattfeinstein: If we could get some air conditioning thatd be great” RT,6.299999999459516e-07
6438939,0.2749992,0.7250008000000001,"RT @paul_lander: House Republicans Shut Off Cameras After Democrats Start Sit-In For Gun Control
Who says the Republicans can't anything do…",8.000000001340268e-07
1501373,0.27499917,0.7250008000000001,@gpatterson_23 @Sam_killa I got you 🙈,8.000000001340268e-07
5187005,0.27499917,0.72500086,@susanbnj @nypost just emagine if Hillary gets in office,8.599999999914232e-07
2407253,0.27499905,0.7250009,"RT @MzFlame86: If you truly want it, never give up 💯",8.999999999703689e-07
7498595,0.27500096,0.72499907,Its here #SharkWeek. Wish my man was here #worksucks,9.300000000100894e-07
230615,0.27499887,0.7250011,"Found $5 in pocket, 😎 #OhYeah",1.09999999997612e-06
975562,0.2749989,0.7250011,RT @dianaskerss: this weekend went by to fast smh,1.09999999997612e-06
1344122,0.27500114,0.72499883,"When she bit her lip, i damn near melted 🤤😍",1.1699999999947863e-06
1274869,0.27499866,0.7250013000000001,holy fuck Thriller just played and I recited the danced from 8th grade when we were forced to learn it for dance class,1.3000000000928935e-06
7129568,0.27499866,0.7250013000000001,"insanity done, I feel great. time for some dinner. chicken and vegetables!!!",1.3000000000928935e-06
5490536,0.2750014,0.7249985999999999,RT @a_chapppy: I know we make time for the things that we want,1.400000000040258e-06
6439205,0.27500153,0.7249985,"RT @JeremyNicolls: There's no way.... 😍 Bruh, she's aging like wine! https://t.co/vSisDzCaES",1.4999999999876223e-06
4352435,0.27499837,0.72500163,"““Judge not, and you will not be judged; condemn not, and you will not be condemned; forgive, and you will be forgiven...”
Luke 6:37",1.6299999999747072e-06
3795154,0.2750017,0.7249983,SEASON 4 OF OITNB IN THREE DAYS??????????,1.6999999999933735e-06
6522549,0.2750017,0.7249983,RT @Nate_Cohn: The last two days of state polls make it seem like Clinton may have opened an even larger lead than it initially seemed. We'…,1.6999999999933735e-06
8942562,0.2749983,0.7250017,@Garcia_Daniel96 happy birthday bro,1.6999999999933735e-06
2291697,0.2750017,0.7249983,RT @Nate_Cohn: The last two days of state polls make it seem like Clinton may have opened an even larger lead than it initially seemed. We'…,1.6999999999933735e-06
6415491,0.27500185,0.7249981,RT @HornyGlF: when he breaks your heart then you realize who you are https://t.co/UhZHeOUyLs,1.8999999999991246e-06
2162289,0.27500194,0.7249981,RT @therealmarklane: On @dfwticket Troy Aikman says Sunday's win over #Washington was great for Dallas. And he's really amazed with Dak Pre…,1.8999999999991246e-06
7795794,0.2750019,0.7249981,"#DePaul already has 11 steals and has forced 15 Hoyas turnovers. @DePaulWBBHoops 29, Georgetown 28 (3:43) #dpuwbb",1.8999999999991246e-06
1329559,0.27500209999999997,0.72499794,RT @evagreen_1: 14 Shocking Sex Confessions From Celebs https://t.co/9jCzn3NEXS,2.06000000002593e-06
931504,0.27499783,0.72500217,channel orange is a perfect album.,2.170000000023542e-06
2065063,0.2750023,0.72499776,I want magic in my life but I have to wait until July.,2.239999999931186e-06
7650689,0.2749974,0.72500265,HS AMP TONIGHT! Q &amp; A!!#andtherewillbepizza #thankstorri #andmom,2.6499999999929358e-06
3607412,0.2749974,0.72500265,"RT @TheStarWarsGuru: ""A plan is only as good as those who see it through."" - Star Wars: The Clone Wars: Destroy Malevolence",2.6499999999929358e-06
4571529,0.27499726,0.72500277,"RT @Bible_Time: I fall asleep in peace the moment I lie down because you alone, O LORD, enable me to live securely. -Psalm 4.8",2.7700000000407954e-06
3828170,0.27499726,0.72500277,"RT @Bible_Time: I fall asleep in peace the moment I lie down because you alone, O LORD, enable me to live securely. -Psalm 4.8",2.7700000000407954e-06
7610741,0.27500290000000005,0.7249971,"RT @CoolTableTweets: ""Some girls gonna love you forever no matter the circumstances"" 
-@NerdAtCoolTable",2.9000000000278803e-06
8503028,0.27499685,0.7250032,RT @bellathorne: Can't wait to hang soon!! You guys were fuckin https://t.co/pmaoHT3CEy https://t.co/RpIWjCdRqj,3.199999999980996e-06
9353515,0.2749967,0.72500324,"RT @NOTSportsCenter: In his first career at bat, Kris Bryant struck out in 3 pitches. He was born to be a Cub.",3.240000000070964e-06
7329464,0.2749967,0.72500324,@c0dycat hey everyone incase u don't know Cody's the best and deserves thousands of free Starbucks and hugs,3.240000000070964e-06
4052635,0.27500334,0.7249966999999999,"RT @aksorojas: *unplugs life support*
*plugs phone charger*
*tweets this*",3.3000000000393825e-06
1027000,0.27500355,0.7249964,@EHernandez_81 we all do. Do the right thing and keep your heart and mind open for great things to come!,3.599999999992498e-06
8913823,0.27500355,0.7249964,I walked out of my room to find a hot dude right in front of my door. I have no idea who he is or what he is doing in my house.,3.599999999992498e-06
1211597,0.27500359999999996,0.7249963,RT @JenFUCKINdayi: OMG. 😭😭😭😭😭😭😭😭 RT @PhillyTheBoss: I am fuckin howling.. 😭😭😭😭😭😭😭 https://t.co/Han5snFOR9,3.6999999999398625e-06
5333565,0.27500364,0.7249963,. . . I can't get caught up wen I see you. You're so beautiful. I can't get caught upppp wen I see youuuuuu. You're so beautiful 💕,3.6999999999398625e-06
