,neg_model,pos_model,text
483807,0.04846857,0.95153147,@_BrittneyS I got hired before I got my job now but I never went they gone make you take this test like matching like 100 things in 5min #Ez
403955,0.048846747999999995,0.9511533000000001,@TimXskulleD haha yep 8-5. Right after I graduated and got a job I was out lol
391429,0.049961574,0.9500384,I refuse to work at Applebee's . So I gotta good even better Job starting Tuesday yuh.
69885,0.0507736,0.9492264000000001,@courtlizcamp I had an internship two years ago and wound up getting a job over there.
120004,0.05087212,0.9491279,I want to work for a magazine one day that's it that's my dream job
466642,0.05096526,0.9490347,'I jst got a new job!!!! Management position at an office downtown Indy.. Business lady Ken
189763,0.051084332,0.94891566,I got a job but only work 2 or 3 days of the week. okay.
118588,0.051353462,0.94864655,I GOT A THE JOB AND MY TAX CHECK JUST CAME IN LOL
34951,0.05137871,0.94862133,I got promoted at work today and my manager immediately followed up w she had no other option
433389,0.051390015,0.94860995,My sister temped for an office for a month and got hired on permanently making over 20 an hour.
198444,0.051549304000000004,0.9484507,"First day at my new job and I get told when I show up it's a 12 hour shift.
Good times"
468100,0.051614974,0.94838506,I got the job staying patient all this work out here and yal thought I was on vacation lol ugh Ima become a rapper tweet  #notreally
265603,0.051739734,0.94826025,I'm still pretty upset about being fired but I didn't mope around I got another job the same day #grindmode #hustle
285393,0.051759835,0.9482402,"3 years ago next month I started out as an intern. Now, Creative Executive at a company I love working for. Can't complain."
58977,0.05204188,0.94795805,@tropicalsleet Yeah! I started off as a part-time intern. $9 an hour. Stayed there for 6.5 years XD Then got my current job!
298797,0.052300612999999996,0.9476993,@ItsNothinAAA I work at tj maxx and just got a second job at h&amp;m I can't do 3 shit lolol
249636,0.052342467000000004,0.9476575999999999,I got myself a night job at six flags selling flash passes #SPLASH
76667,0.05235797,0.947642,I just got offered a job for $15.50 an hour but I have school at the same time
133912,0.052446667,0.94755334,Got my first tip at work today and I was pretty excited lol
450647,0.05248777599999999,0.9475121999999999,Just wanted to say Congratulations to Amy! I posted a job awhile back and she was hired! Yay!! :)
399758,0.052506566,0.9474934000000002,@LyMacnLiv I got a 2nd job at this new Greek restaurant in Rockville town center they open Monday
133019,0.052664727,0.94733524,Interview went great I think I got the job
403520,0.052678164000000006,0.94732183,"im 17 , bought my own car , got a job . doing for myself &amp;. getting for my last year of high school #Independent"
441819,0.05269578,0.9473041999999999,Excited to start working over the summer 😀 one job lined up 2 interviews when I get back just really happy to be at this place in life.
231794,0.052776143,0.9472239,Got a new job today a better one and I'll only work nights Monday thru Friday
169684,0.052878294000000006,0.94712174,I applied to 3 jobs today and asked a professor for a letter of rec AND my room is clean/my clothes are all put away #IsThisHowYouAdult
440120,0.05291991,0.9470799999999999,I got a job and it don't even feel like it
365331,0.052927199999999994,0.94707274,I love working at subway but I'm slick tryna get a new job.. Daycare to be specific
26287,0.052991338,0.9470086,I thought I had a summer job once at GC Services....mofo hited me on the spot but i had another week of summer school so he told me to call
