,neg_model,pos_model,text,dist_point5
6611496,0.50000006,0.49999994,@MLP_Shineshim Need to rest up?,6.00000000239298e-08
9202949,0.5000020000000001,0.49999799999999994,gonna start writing my phone number on my papers,2.0000000000575113e-06
1543153,0.499997,0.50000304,@TRL @FifthHarmony Will they ever write a tell all book?? #TRLAsk5H,3.0399999999541905e-06
3233452,0.500004,0.49999604,RT @jenkher: @shanakurucz @sheslulu  you watch her? i watch her videos 😂,3.960000000025055e-06
4284277,0.4999947,0.5000053,RT @5SOS: RT if I should get up out of bed,5.2999999999858716e-06
2215507,0.4999947,0.5000053,RT @5SOS: RT if I should get up out of bed,5.2999999999858716e-06
9240019,0.5000058,0.49999422,@uhbenni get out if my life,5.7800000000107765e-06
6922299,0.5000064000000001,0.49999362,@neonx620 Still no ETA unfortunately but we appreciate your continued patience on this.  ^IS,6.379999999972519e-06
8517256,0.49999209999999994,0.50000787,only person i need is @Codayaparker,7.870000000020916e-06
5641812,0.5000079000000001,0.49999207,RT @stayinmycorner: Trying to my daughter a little lowrider bike,7.929999999989334e-06
2210610,0.49999079999999996,0.50000924,RT @taylorrrbrianne: I can actually stay up as late as I want tonight but I'm tired af at 10,9.240000000021453e-06
6230571,0.49998859999999995,0.50001144,RT @cr888rs: fav this tweet and i will tell you if you are hot,1.1439999999973693e-05
8918762,0.5000127000000001,0.49998729999999997,RT @Ivana_Airo: true life : I have anger issues,1.270000000003213e-05
759770,0.4999812,0.50001884,Oh well IDGAF,1.883999999996444e-05
990775,0.49997988,0.50002015,RT @TheG_Ron: LA next week .. Vegas next weekend ...,2.014999999999656e-05
7070476,0.5000202,0.49997982,If Yall wit it we can get it,2.017999999998077e-05
4983667,0.5000202,0.49997982,RT @SamMaggs: ASK ME ABOUT MY FEMINIST AGENDA,2.017999999998077e-05
3482495,0.50002056,0.49997939999999996,"RT @xJahwise_: I don't get why people can't just be honest and say if they like you or not, why sit there and lead somebody on ??",2.0600000000037255e-05
2918325,0.50002146,0.49997854,"@Ryan_NelsonSC Same here, most fun! Thanks so much for the pic",2.1459999999973167e-05
2847809,0.49997744,0.5000226,Had a dream that I was going to wake up and my phone was going to start working again. Guess what....... it's still broke #phoneless,2.2599999999983744e-05
146507,0.5000241,0.49997592,RT @ThatsSarcasm: my talents include being able to sit on the toilet for 30 minutes being distracted by my phone,2.4079999999981894e-05
7047516,0.4999755,0.5000245,@slavetodrews omg so if i dm you my email right now you'll buy me heartbreaker ?! :o,2.449999999998287e-05
1747878,0.4999749,0.5000251,“@Jess_Nashae: Gone ✌” where you going ?,2.5100000000000122e-05
2944446,0.50002515,0.49997482,I need to go on a hiking trip,2.5180000000013525e-05
631852,0.50002515,0.49997482,"RT @Fact: Girls have periods, cramps, babies, and everything else. The least a guy could do is text her first",2.5180000000013525e-05
5083898,0.5000256,0.49997446,"#job alert: Lead Cook needed in #Beaverton, #OR https://t.co/VZCbKNMq1M #jobs #hiring",2.553999999999057e-05
1879325,0.5000302,0.4999698,RT @camerondallas: “@ProperDallas: @camerondallas please follow me I've been trying so hard for a follow from you😭” followed beautiful (:,3.0199999999980243e-05
1920034,0.49996975,0.5000303,"RT @MichaelDmitri: I don't need validation from others, I know who I am",3.030000000003863e-05
4375203,0.4999682,0.50003177,RT @morgan_murphy: who's voting for Trump besides people who buy swords on QVC?,3.176999999998653e-05
1086536,0.4999673,0.5000327,"@TaraKuczykowski 5, you must be a busy Mom! :) 
#Kleenex4School",3.269999999999662e-05
7112171,0.49996656,0.50003344,RT @alexamanzella: i hate that if i block someone on twitter they can still read my tweets..,3.3440000000051207e-05
9277796,0.5000336,0.4999664000000001,Tomorrows pay day and then I'm going to Cali this weekend so I'm pretty hype 😛,3.359999999991148e-05
1938762,0.4999657,0.50003433,Watching Love &amp; Hip Hop Tahiry talks too damn fast df is she saying lbs,3.432999999997133e-05
7158915,0.49996564,0.5000344,@ambeezy10 I saw! I actually can't wait to go back.,3.4399999999989994e-05
3514327,0.50003535,0.49996468,Fuck studying I'm not in the mood,3.532000000000535e-05
3968843,0.49996462,0.5000354,"RT @Faggot_kitten: If you ""liked"" me, you'd at least text me. :-) :-) :-) :-)",3.540000000001875e-05
4175345,0.5000361,0.49996385,RT @glennbeck: Back home in Texas after being on the road for 4 weeks.   Nice to be home. Settle down and prepare for a busy fall.  Lots to…,3.615000000001256e-05
7958151,0.5000378,0.4999622,"RT @ChicagosMayor: ""I support the President’s plan to ban assault weapons and clips, institute a criminal background check &amp; crack d ...",3.779999999997674e-05
1069565,0.49995902,0.500041,@Prettybr0wnEyes This Lady I Know,4.099999999995774e-05
5534283,0.5000412000000001,0.49995884,RT @ricardo5144: I needa figure ou this first day of school outfit🤔🤔🤔,4.115999999998454e-05
3990894,0.5000422000000001,0.49995783,Finally here hopefully no wait,4.2170000000008034e-05
79698,0.49995703,0.500043,Setting up stream! Let's do some Smite!,4.300000000001525e-05
181676,0.50004315,0.49995682,"@800835 I'm doing good. Was writing music ideas, now on watching Netflix.",4.3179999999976015e-05
8593329,0.5000443,0.49995574,"@_beeezyyyy frfr tho, where those prescriptions at tho? You back on your feet yet? Lol",4.4260000000018174e-05
779745,0.5000451,0.4999549,@zaogon same but i've never played a VN i thoroughly enjoyed so it's just not my genre let alone game,4.5100000000020124e-05
6867793,0.50004894,0.4999510999999999,@iAMbozzz drugs,4.8900000000073884e-05
9247704,0.50004935,0.49995068,.@CharissaT I think Lockett saw your tweet :),4.932000000001935e-05
7193169,0.5000501,0.49994984,"RT @jonnysun: JK ROWLING: there is a school caled hogwarts, studnets learn magic
ME: ok
JK ROWLING: theres no tuition &amp; no student debt
ME:…",5.01600000000213e-05
6114892,0.50005126,0.49994877,People need to chill... If you don't like my tweets then back off keep scrolling 😒 !!,5.123000000001321e-05
6760442,0.5000532999999999,0.49994668,"RT @BrandyLJensen: I just want to be able to wake up next to someone, look at my phone and say “you have got to check this shit out he’s ca…",5.332000000002335e-05
6943337,0.49994567,0.5000543,"RT @AshaRangappa_: You cannot possibly be this dumb.

1. The President doesn't direct the Justice Department or its investigations and ther…",5.429999999995161e-05
5579611,0.49994537,0.50005466,RT @joeystearns2: If I hate you I will tell you,5.4659999999984166e-05
5490601,0.5000551,0.49994496,They a never see me here this place slow af,5.5040000000006195e-05
4018689,0.4999449,0.50005513,Can't wait for my much needed trip to Washington in less than two weeks! @jgwentworth #GasAndGo #JGWinNow,5.5130000000014334e-05
3638170,0.49994448,0.5000555,Braelyn woke up just to watch fucking tv and wont go back to bed. 😡,5.5499999999986116e-05
646785,0.49994220000000006,0.5000578,"RT @ThatGirlRavenn: If you put your ex on blast on a social site you are so immature , especially those screenshot texts",5.779999999999674e-05
9341016,0.5000581000000001,0.49994192,"RT @lumasimms: I'll be on @alhurra  TV Special Report in a couple of hours to discuss the Christian situation in Morocco, tune in if you ca…",5.80800000000159e-05
5395552,0.5000581000000001,0.49994192,I do not understand. It says that I have 50 slots in the bank but my limit so far be 11. https://t.co/TGLV3aAqeO,5.80800000000159e-05
6030311,0.4999409000000001,0.5000591,"I just need a hug and someone to tell me ""I know you're not okay here's a pop cycle.""",5.9099999999978614e-05
3386641,0.5000592,0.49994079999999996,@krause_katrin96 Unfortunately @SteveTignor does! Lets see who shall have egg on their face! :))),5.9200000000037e-05
599368,0.50005955,0.49994043,Shout out to @TheKingScottyD for following urs truly now go follow this king right now yo!',5.957000000000878e-05
4494165,0.5000595999999999,0.49994040000000006,@kiefernap3 @tnap14 afraid i don't know a chance,5.959999999993748e-05
5459548,0.5000597999999999,0.49994025,"You'll Never Meet Another Nicca Like Me!! 
Who Complement Ya Like Me??",5.975000000002506e-05
5690803,0.5000604000000001,0.49993965,"RT @drunkcoatesy: That PP Payoff jackpot is gonna hit $2,500 by mid February. #flyers",6.03499999999868e-05
8889159,0.5000611,0.4999389,@JustinGaron got ya…absolutely. Think Lin has earned a little more of his money tho ;-),6.109999999998061e-05
6235446,0.50006175,0.49993822,@ExclusiveSun how do I do this,6.178000000001127e-05
1235695,0.5000622,0.4999378,Looks like I've got some driving to do to clear my mind,6.220000000001225e-05
5477027,0.5000627000000001,0.49993733,Company would be straight,6.26699999999869e-05
3790944,0.4999343,0.50006574,I'll be at BBC next week and will be presenting in one of the sessions. https://t.co/bbE9vuUnoQ,6.574000000003632e-05
