,neg_model,pos_model,text
414739,0.95708215,0.042917866,RT @FreedomWorks: Breaking: FreedomWorks Issues Key Vote “NO” Against the @SpeakerBoehner Debt Hike http://t.co/rCoMsgQquT #tcot #tlot #fw
183728,0.9562254000000001,0.043774597,"Hillary Clinton called TRUMP a ""FASCIST FUCK"" when she wanted Matt Lauer  FIRED for asking questions about DELETED emails!

RETWEET TO DEMS! https://t.co/ZVVzhcQ44v"
451364,0.95621103,0.043788947,"pokertips
pokertips dont play crap cards in early position"
76370,0.9561146999999999,0.043885265,@marcelloa1598 So are you supporting Hillary now since you are retweeting her awful campaign ads? Garry Johnson didnt work out eh? Oh Aleppo
350945,0.956075,0.043925,Trump WILL NOT  work for we the people ! He has always been focused on TRUMP. A zebra can't change its stripes https://t.co/pu8MjsmaFP
153749,0.9559958000000001,0.044004187,"Give Sanders every chance, but work for #PlanB puts us farther ahead if you're left with Clinton/Trump #JillNotHill https://t.co/KxfADH6Syd"
343452,0.9559189,0.044081117999999996,RT @FutballTweets: Robin van Persie leaving opposition players on their arse. 󾓶󾓶 https://t.co/SsQKQb7vRk
64305,0.95590734,0.044092633,Will Trump Fire Himself? Don't rule out the possibility of Donald Trump quitting the race. Republican officials ke… https://t.co/q5Ijeq1m8Z
319558,0.9558894,0.04411059,"Illinois Democrats, quit getting played https://t.co/REP9JAdkfz"
218550,0.9557688,0.04423114,WHOLESALE JOBLOT Samsung S4 S5 S6 iPhone 4 5  6 Despicable me cases X 75  - Bid Now! Only … http://t.co/kbvypsVwuv http://t.co/iJRfkw5Wxp
207911,0.95568377,0.04431625,Brookings: Dollars at work: What defense spending means for the U.S. economy: Dollars at work: What defense… http://t.co/951W7kjSHt
84261,0.95567787,0.044322125999999996,"@DRUDGE_REPORT @YahooNews way to go Brazil. Leftists are a cancer indeed. U can't work with them, they must be defeated."
263302,0.9556633,0.044336677000000005,"RT @AssemSweidan: Dennis Skinner standing again,what a joy it would be to see him sneering at Cameron on the opposition benches....., Can't…"
361863,0.9556533000000001,0.044346675,Brand Perth tourism focus riles Opposition https://t.co/EJnntyLc3Y #tourism
132130,0.9556091999999998,0.044390816,The Privatized Future of Philadelphia Gas Works http://t.co/NkyYOlhG7r
5094,0.955608,0.04439195,Ps2 Games Rare job lot of 31 Games Suikoden ICO Odin Sphere crash bandicoot etc - Bid Now!… https://t.co/xRnSAL0U1x https://t.co/uwMStBeseo
193532,0.955608,0.044391967000000004,Magic Mesh Hands-Free Screen Net Magnetic Anti Mosquito Bug Door Curtain Hot - Full read b… http://t.co/YmCLulBvaO http://t.co/mvqqH1XqPc
145918,0.95556664,0.044433377999999996,"RT @ToConservatives: Sorry, Troll, your lies don't work on informed voters.
https://t.co/eCEKRdyw6E
@starincali"
174036,0.9555505999999999,0.04444935,Stocks rise as tepid jobs report stokes rate hopes https://t.co/Kqh8P4x8Dx
363609,0.9555505999999999,0.04444941,Chattanooga Armateur Works Camouflage Trucker Hat CAW Snapback Hunter Cap Camo https://t.co/YGgwDjjsB8 https://t.co/WfnUIjgKXz
381940,0.95554626,0.04445368400000001,"Bus drivers top obese workers list; doctors tip lighter

http://t.co/KoARZYGVXw"
21178,0.9555366,0.044463433,WORKING!  Panasonic Q SH-TGC10 Controller Nintendo Gamecube  wii GAME GC JP - Bid Now! Onl… https://t.co/dekVH6Dimr https://t.co/wxJfqeAKiO
317518,0.9554843000000001,0.04451572,"Republicans voting for a nutjob candidate, is this news?  https://t.co/ZhlmuCwYFy"
428188,0.95547813,0.04452183,"#gamesworkshop #warhammer what happened to the Karl Franz, talk at http://t.co/KfeRniKLSs"
139669,0.95547813,0.04452183,"#gamesworkshop #warhammer what happened to the Karl Franz, talk at http://t.co/KfeRniKLSs"
119868,0.95547813,0.04452183,"#gamesworkshop #warhammer what happened to the Karl Franz, talk at http://t.co/KfeRniKLSs"
163681,0.95546836,0.044531673,RT @Toure: The Clinton Republican position. https://t.co/yGk4FlVC0N
481601,0.95545965,0.044540342000000004,"RT @MatthewCallaway: Krugman: If Republicans arguably lost this round, the unemployed lost even more. http://t.co/U28oL53MBK"
203518,0.95541745,0.044582617000000005,Trump: Single-Payer Health Care 'Could Have Worked In A Different Age' #TRUMP #TCOT #LNYHBT #TGDN #C2GTHR http://t.co/jpYF3vrd3O
45520,0.9553927,0.044607278,"https://t.co/139N3HzBkf Verizon, AT&amp;T upgrade wireless networks in Cleveland for Republican National… https://t.co/YXSDE5JgHu"
330029,0.95539075,0.044609174,"Ikea Smila Blue Star Light w/ Switch, Works Great, Bulb NOTIncluded, Used - Bid Now! Only … https://t.co/Wbv8uyztNc https://t.co/GS73cMA3pE"
450764,0.9553837,0.044616323,C-Span loves the Fed. They work for the Fed. Now do you understand the game? @cspanwj #cspj #tcot #teaparty #p2 #news #tlot #facebook #fail
469041,0.95537543,0.044624563,Is Virginia Gubernatorial Candidate Robert Sarvis a Libertarian-In-Name-Only? -  http://t.co/hwujjoBY36 via @FDRLST
349667,0.95537335,0.044626635,Apple iPad Mini 1st Gen Wi-Fi 4G Cellular Verizon 16GB MD540LL/A [Not Working] - Bid Now! … https://t.co/l0DikXXgpx https://t.co/dGdaJCTNYY
13105,0.9553550999999999,0.04464492,Insect Fly Bug Mosquito Door Window Curtain Net Netting Mesh Screen Protector #A - Bid Now… https://t.co/mKbhZPV2So https://t.co/50lLiM3kDZ
