,neg_model,pos_model,text
274362,0.04963001,0.95037,Got let go 9/30 at 4:15p... found my new job 10/1 at 3:30p. Pretty successful first day of unemployment!  Only lasted 23 hrs 15 min.
492200,0.052658547,0.94734144,Lol I was offered a contract to do plus size male modeling. Holla at ya boyyyyy lol.
240100,0.05524725,0.94475275,Just got word &amp; Praying my new job send's me to the project in Virgin Islands!!
511135,0.05539272,0.9446073,"First day of work, not that bad I only panicked a few times!"
66312,0.055961404000000006,0.94403857,"@Bery_MV about time, I started a new job and can't really churn through podcasts like I normally would"
100178,0.056491356,0.9435085999999999,"2015 is a great time to be alive, I just applied for a job online in 10 minutes thanks technology for helping me not be a loser"
154785,0.056636497,0.9433635,"Starting my day with a cup of coffee on the balcony, then it's off to sign papers for my new job!"
369735,0.058839947000000004,0.94116,Supposed to move tomorrow and I'm already scheduled to work tomorrow. This new job is going to be fun!!! 🤗🤗🤗
39304,0.05916091,0.9408390999999999,First day back to work and I've been given a special job 😎
482901,0.059423092999999996,0.940577,I got offered a job!!!!! *does happy dance* 💃💃💃💃👏👏
434714,0.05949656,0.9405034999999999,I got into sva!!!!!! Im going to college!!!!!!!!
530418,0.05985912,0.94014084,Just got my first vineyard vine 😍☺️ frat me up
466989,0.060043915999999996,0.93995607,"Just got the best call ever, going to Florida and Disney in May! Than to Tennessee, my favorite place on Earth!"
417704,0.060171023,0.9398290000000001,So glad i got my old job back right down the street from my house lol
202054,0.06064984,0.9393501,Late on my 2nd day at my new job 🙃
383628,0.06102835400000001,0.9389716,So excited to start my new role as a Sr Account Service Rep on the 18th! @tmobile and @metropcs help employees #BeUnlimited in their careers
148214,0.06112883,0.93887115,I seriously need a new job lol
42488,0.06137194,0.938628,@Cobain_shirt I think I got a new job 😁😁😁😁 I'm happy bc I'll finally make my own money soo yaay 😂😂
28957,0.062158473,0.93784153,I start my new job next week! Time to make some big $$ so I can get a better gaming rig and PUMP out some awesome content. #cantstopwontstop
532202,0.062167164000000004,0.93783283,"I just got added to 8 lists that say ""Cars,"" what the fucK"
314473,0.062295627,0.9377044,I want to get a job this summer but I'm also going to be gone 25/30 days in June so maybe not...
389105,0.062421027999999996,0.937579,Turn 18 next month and the only thing on my mind is getting a higher paying job
486911,0.062438945999999995,0.93756104,Got my scholarships for next year 😎
445805,0.06252531,0.9374747,Just got my 2nd offer 🐴🐴
491160,0.06289791,0.9371021,Just finished my last final of my Freshman Year!!😁
138608,0.06330983,0.9366901,"Don't want to jinx myself but I decided 2 days ago I want to go out &amp; celebrate when I get a new job. So, NYC friends, rooftop bar soonish!"
96493,0.064083904,0.93591607,I gotta take another vacation again after 2015 and start flying places . When I actually take off again
138409,0.064260185,0.9357398000000001,Come on work day go by faster I'm ready to be done and start my weekend
542822,0.064320795,0.9356791999999999,"Got an under the table job where my dad works for a few days, I'm glad I'm making some money! 😁"
516107,0.06456415,0.93543583,Next Monday my 20th week appt 😊😊👶💕
80681,0.0647899,0.93521005,I got the job 🤑
495566,0.064999476,0.93500054,I REALLY WANT TO START A YOUTUBE BUT I NEED TO GET A JOB SO I CAN BUY A CAMERA AND A LAPTOP FIRST
361424,0.06525831,0.9347416,@hweigs girl i feel you i have to get a second job ova here 🙃🙃🙃
301120,0.06549108,0.9345089,Just got offered steroids at the gym lol freakin meat heads
407225,0.06589948400000001,0.93410057,"After I DJ'd two parties yesterday, I got booked for another one next weekend"
129296,0.06591269,0.9340873,Gotten back into playing my Bass Guitar! 2 Band Gigs coming up
132717,0.06648041,0.9335196,I just cashed out at goodwill #happylatebirthdaytome
531038,0.066527806,0.9334722,Home sweet home! Just finished my first full week of classes. Very happy with my choices for this semester and my instructors...😇😇😇
418956,0.06696009,0.9330398999999999,I got a month to reach my goal to be on the basketball team and I need to give it my full… https://t.co/fmNbi6bI8w
161091,0.06731847,0.93268156,the week i got my license i was happy as fuck to drive any chance i got lol
228317,0.06751642,0.93248355,Just took my first dump of 2016. The year has started off great.
256579,0.06774611,0.9322539000000001,going to europe next time i get time off. got a good feeling
418405,0.06815729,0.9318426999999999,Last day at my second job 🙌🏼🙌🏼🙌🏼
37361,0.06818415,0.93181586,"Currently sitting at my new desk with my new Mac, starting my full time hours!!!!!"
209465,0.068285905,0.9317141,"Told her I finished school....and started my own business..... She said ""oh you graduated?"" Nah I decided I was finished ...."
229238,0.068509504,0.9314904,I GOT MY FIRST COLLEGE ACCEPTANCE INTO FIU💙💛
404165,0.06851789,0.9314821,Well I was at a Dave Matthews concert and I got to go backstage and I met the whole band and eat with them https://t.co/HSNj3XOW9Q
417307,0.06858439,0.93141556,this week has been a great week!!👍🏻😍  this is  my second week with my  new job!!  and  i am doing great!!✌🏼️🙂
132426,0.06870066,0.9312993,Got back from ASP yesterday and now I'm leaving for orientation! 😁
199185,0.06875272,0.93124723,"Today, I have a 2-hour interview with Social Code for a job in the LA office. This week, I have a 2nd rnd for Jr. Strat with McGarryBowen NY"
335949,0.06909633400000001,0.93090373,"Just got my new snowball, I'm straight up pumped for the content coming soon!"
339370,0.069235705,0.93076426,ya girl got the job at tapex 😛
372401,0.069390185,0.9306098,Got the opportunity to do something completely different at work today. It was a really nice change of pace!
150578,0.069622874,0.9303771999999999,Just got my full time driving position. No more getting up at 12 a.m.!!
149826,0.06997949,0.93002045,About time I get this promotion at work too
466493,0.07006169,0.9299383,My last weekend in Louisiana I'm trying to turn up!!!
476214,0.070126966,0.92987305,I want to become a professional food photographer but I won't actually eat the food don't want to get fat
531570,0.07015032,0.9298496999999999,I just got home &amp; I have work in 3 hours .. Whyyyyyy 😐😐😐😐😩😪
