,neg_model,pos_model,text,dist_point0.725
962703,0.27499977,0.72500026,"$25 per hour jobs on Facebook, now hiring! ... https://t.co/oIk8uHOENR",2.599999999741698e-07
4010802,0.27500024,0.7249996999999999,RT @GAFollowersDSC: Better tweet me #DSCTrain or RT if you trynna network..,3.0000000006413785e-07
4503784,0.27500063,0.72499937,I gotta start working at 7 am. Not feeling this new year shit..,6.299999999459516e-07
2483734,0.27499902,0.725001,I want to win something... I dont care even if its something little for my desk at work... #Cantwinforlosing,1.0000000000287557e-06
2094139,0.27500117,0.7249988,So I work all week but have Saturday and Sunday off!!! Should I be happy or sad? 😳,1.1999999999234845e-06
3370124,0.27500156,0.7249985,@12ConorOLeary @iPatWalsh I dunno I'm just trying to get some work done up in here!,1.4999999999876223e-06
4954051,0.27499846,0.7250015999999999,Thats a good work assignment! RT @TheAirportSquad: So i get to go meet @joeylogano for work pretty excited,1.5999999999349868e-06
4883366,0.2750017,0.7249983,Rep. @louiseslaughter: I stop voting for trade agreements long ago b/c I new nobody in Rochester sent me down here to send away jobs,1.6999999999933735e-06
4895955,0.2749978,0.7250022,Chief James Craig: I did accept cheif job in Detroit. I'm very excited. Thanks to everyone in Cincinnati.,2.2000000000632625e-06
7314354,0.27500388,0.7249960999999999,"Want to work at gethirednow? We're #hiring in #StLouis, MO! Click for details: http://t.co/k3SZphak3b #CustomerService #Job #Jobs",3.900000000056636e-06
698521,0.27499554,0.7250045,@Shadowsofsilver I'll still are my lunch. Just leave the work for later lol,4.500000000073889e-06
8291697,0.27500537,0.7249946,"""@MariaYvette2920: Just working... I'm in such a great mood sn... Gotta do church more often""thats good",5.399999999933236e-06
7063358,0.27500552,0.7249945,"@Julietsbb It just rolls over from this year; so instead of not having a job after August 31, I'll be back in the office on September 1 :D",5.499999999991623e-06
5199663,0.27499393,0.72500604,"I think it's funny when ppl post on Trump pages that Mexicans are taking there jobs, lol you can go frame houses for me.😂😂",6.0400000000404575e-06
7351675,0.27499366,0.7250064,Good morning. I'm at work again. Thinking about waffle and ice cream for breakfast. #hungryfatperson,6.400000000073014e-06
4191137,0.27499357,0.72500646,I work for money and work to spend it wit hopes that it'll come piling back,6.460000000041433e-06
5470110,0.27499357,0.72500646,I work for money and work to spend it wit hopes that it'll come piling back,6.460000000041433e-06
82649,0.27500707,0.72499293,"RT @lmjancek: .@HillaryClinton knows NOTHING a/b how to grow jobs or business, she made her fortune by selling gov't favors &amp; access to spe…",7.069999999997911e-06
