id,text,InformationType_label,ProcessedText
339,I am looking for a local tweeter for hire? Looking to rec. someone for a 2 month gig for a nonprofit for a campaign. PT work.,0,i am looking for a local tweeter for hire? looking to rec. someone for a 2 month gig for a nonprofit for a campaign. pt work.
3046,Ive learned more &amp; talked more with my co-workers in 3 days at my new job than I did in 3 weeks at Dicks. extremely grateful &amp; happy.,1,ive learned more &amp; talked more with my co-workers in 3 days at my new job than i did in 3 weeks at dicks. extremely grateful &amp; happy.
4825,my heart dont work Im unemployed,0,my heart dont work im unemployed
5025,Gave two weeks notice 3 weeks ago. Started new job yesterday. Yesterday the old job was telling people they fired me. I’m not ok with this.,1,gave two weeks notice 3 weeks ago. started new job yesterday. yesterday the old job was telling people they fired me. i’m not ok with this.
4641,I just got hired at TGIF at the Rim and I already wanna quit and get a job at BJs at the Rim lmao,1,i just got hired at tgif at the rim and i already wanna quit and get a job at bjs at the rim lmao
1411,Unemployed Under-Employed Unhappily Employed? Find jobs &amp; career solutions on LinkedIn in JCD The Job Seeker &amp;... http://t.co/EC9IzitRoC,0,unemployed under-employed unhappily employed? find jobs &amp; career solutions on linkedin in jcd the job seeker &amp;... http://t.co/ec9izitroc
265,I went driving today and got my lunch and I saw that Dollar Tree is hiring. So Im going to check that out.,0,i went driving today and got my lunch and i saw that dollar tree is hiring. so im going to check that out.
4089,Got hired today for a really good new job but theyre asking me to cut my hair...,1,got hired today for a really good new job but theyre asking me to cut my hair...
6377,Today I got hired promoted &amp; then fired from a Briarcrest commercial...thats all. #actress,1,today i got hired promoted &amp; then fired from a briarcrest commercial...thats all. #actress
100,I got hired 4 Jamba Juice God is Good,1,i got hired 4 jamba juice god is good
1111,#NashvilleGigs I AM SEEKING A CRAIGSLIST POSTER. EARN EXTRA CASH POSTING ADS http://t.co/RxKM3YzGJ9 #Nashville #NashvilleJobs #gigs,0,#nashvillegigs i am seeking a craigslist poster. earn extra cash posting ads http://t.co/rxkm3yzgj9 #nashville #nashvillejobs #gigs
3297,Got fired on Wednesday got my job back yesterday and I work today haYesterday was my day off too so its like I was never fired at allMy manager hates me even more now I know it aha,1,got fired on wednesday got my job back yesterday and i work today hayesterday was my day off too so its like i was never fired at allmy manager hates me even more now i know it aha
