,id,neg_model,pos_model,text,class
0,1726,0.057086483,0.9429135,Ill summarize: I got laid off last October was rejected from unemployment w/o explanation so only earned comedy money for 3 whole months,0
1,3621,0.07619724,0.9238028,HeyI got laid off from Alorica. Of anyone knows a place thats hiring Let me know.,1
2,1617,0.9519207,0.048079345,Looking for a new career? Mills has a Leasing Director position now available! http://t.co/y79opmYApF #jobs #jobsearch #multifamily,0
3,3304,0.054334477,0.9456655,Nigga I been fired from 5 jobs had to quit from 3 AND my whole workplace got laid off today Im 20 homie fuck that you just gotta #Maintain,1
4,3973,0.058481786,0.9415182,I just got fired from my job and rehired all within 15 minutes 😐,1
5,6488,0.060466453,0.93953353,I lost my job Saturday got diagnosed Sunday..what a shitty weekend I had.,1
6,4786,0.9491756,0.050824407,Looking for an engineering job? Many employers use our board. http://t.co/i7jLc9UDkF @DioceseofJoliet #unemployed #jobs #jobsearch,0
7,717,0.078930594,0.9210694,Apparently I am still working with Avalon honda when I was fired a month ago. I just received a message from... http://t.co/T8ybKo0J2c,1
8,5680,0.09984684,0.9001531,Found out today that I was living in povertyhad a poor education and am most likely unemployed https://t.co/y36naZBnnj,0
9,1756,0.10419559,0.8958044,Freshly laid off checklist:✔ Call partner✔ Call Mom✔ Call Dad-- Wait on hold forever with unemployment. 😓,1
10,3109,0.06103587,0.9389641,Fell asleep at the wheel the other nightbrakes failed and got in car accident yesterdayquit job tonight then got pulled over what the fuck,1
11,6120,0.9431779,0.056822103,Apple posted a job you might be interested in: Software Quality Assurance Engineer - Beijing City China CN.,0
12,16,0.06645295,0.933547,I wasnt fired from my job! I was laid off!!! But you wouldnt know the difference! #stepbrothers,0
13,2254,0.95468944,0.045310523,Ad: Unemployed? Looking for a new Job or Career? Work at Home Positions avail $80-$90 a hr http://t.co/QctV6WLzVk,0
14,7275,0.07409592,0.9259041,Finding new job tomorrow got laid off from Amazon.,1
15,699,0.066416435,0.9335836,So for the first time in 30 years...I got fired today.  I am looking for work or marketing work but let me know... https://t.co/99ZRjqBdJQ,1
16,1234,0.951206,0.048794024,Heres a paid opportunity to work with smart nice people and write for feminist media! https://t.co/tbmymJQCYC,0
17,7,0.076950364,0.9230497,So I was laid off today (1 of 3 employees)..... But this right here makes me forget how much this… http://t.co/BbUMa7rB5L,1
18,3091,0.061216105,0.93878394,Today i quit my job. Everything is about to change for the better time to take a leap of faith with my career do what you love and do it well it’s time. Last year being broke,1
19,2165,0.95471954,0.045280416,Searching for #work in Orange CA? Send your #resume to Focus Employment Inc.. http://t.co/gXzeDQTwG3 #gethired,0
20,6966,0.06209221,0.9379078,I got fired today.. Fml,1
21,4842,0.9403527,0.05964727,Anyone hiring?? I work for the US Federal Government and am available to start tomorrow!,0
22,3227,0.057925053,0.9420749,Hi guys. I officially got laid off today. Send beer. Thanks. Also please hire me.,1
23,5054,0.7305059,0.26949415,I got my last check from my old job yesterday and will get a check from my new job right on time in exactly two weeks.. that worked out well,1
24,6442,0.078111775,0.9218883,I lost my job and the only keys I had to my moms car all within 20 minutes... Hows your day going?,1
25,1735,0.461834,0.538166,Tuh I would love to have a job at McDonalds.. Im sitting here unemployed and my mama just got laid off too? shit.,0
26,3234,0.8833011,0.11669892,need to find a job lmao lets see how long it takes before I am fired.,0
27,61,0.07106116,0.92893887,Was just laid off due to the company closing.  Ive got 4.5 years of assisting experience. @taylorswift13 need an assistant? Insert panic.😩,1
28,6445,0.11131154,0.8886885,lost my job today due to budget cuts what a way to start the new year. I know I will get a new job being without one is scary.,1
29,5780,0.9495105,0.05048948,Anyone friends with an iOS eng looking for a side project? (Ideally based out of NYC). $$/ equity on the table depending on experience,0
30,4764,0.8127183,0.18728179,For months I have been unemployed and looking for a job. Today it is comforting to prepare for a new job (cont) http://t.co/GkR1zPJtMn,0
31,6747,0.09049929,0.9095007,Whats up I am fired this morning  alot of people  up this morning the neighbor cop  just got in,1
32,3338,0.09333873,0.9066613,I got hired at a job last week &amp; quit the next day &amp; skipped two interviews that I had this week. I cant with myself.,1
33,742,0.941902,0.058098,We are hiring! If you are interested in a part-time position either serving or driving then send us a message or call 848-8777.,0
