,neg_model,pos_model,text,dist_point5
238692,0.50003356,0.49996644,I'm fat and full right now,3.3559999999988044e-05
280291,0.50007284,0.49992716,Karma gone hit some of yall so hard you won't be able to get up .,7.284000000001845e-05
221782,0.5000752,0.49992479999999995,I'm hungry 😕,7.5200000000053e-05
502256,0.5000752,0.49992479999999995,I'm hungry 😞,7.5200000000053e-05
92409,0.50007564,0.49992440000000005,I'm hungry 😩,7.559999999995348e-05
488875,0.5000878,0.49991217,RT @rickytvpia: I've been in a shitty mood all day fr,8.783000000001095e-05
221371,0.50009924,0.49990076,Laying on the golf course looking at the stars after a night run. #relaxing 😌😌,9.924000000000044e-05
455582,0.49986786,0.5001322,so im just gonna be a bitch,0.00013220000000002674
8076,0.49986450000000004,0.50013554,Fuck fuck fuck fuck I have homework,0.00013554000000004507
194457,0.5001392,0.49986085,Y'all got too much money for me. I ain't up there yet 😂,0.0001391499999999768
347419,0.49983296,0.500167,They said I got fat 😔😭,0.00016700000000002824
63112,0.49981835,0.5001817,"OH MY GOD MY HEART JUST BROKE, WHY MAX?!?💔",0.00018169999999995134
259737,0.49980325,0.5001967,Im too late 😩,0.0001967000000000496
153720,0.49978375,0.50021625,"2016 was a good year I can't complain, I know 2017 will be even better.",0.00021625000000002892
354222,0.5002616,0.4997384,RT @KodakBlack1k: I'm Away But I Ain't Gone...,0.00026159999999997297
97196,0.500301,0.499699,Wish I had somebody to talk to at night 😔‼️,0.0003009999999999957
91955,0.50030196,0.49969807,Started weening myself off of coffee on Sunday.  Big difference. #GreenTea #AntiInflammatory,0.0003019300000000058
29745,0.50033164,0.4996684,Need a move...???,0.00033159999999998746
406153,0.50036067,0.49963927,Yoshie you a Lying Ass Bitch And Your Not Scarin NOBODY I Will Beat Yo Ass Little Girl Fuck Outta Here Stop All Tht Talkin Weak Ass Bitch,0.0003607299999999758
103509,0.49962172,0.50037825,home alone till about 1 what's the tea!!!???,0.0003782500000000244
22215,0.49960604,0.500394,just got done meditating. I feel so wonderful now,0.00039400000000000546
251486,0.5004075,0.49959248,Why am I not a chef? I got some serious cooking skills ✊,0.00040751999999999455
291020,0.50040823,0.49959177,im so in love with this picture fuck,0.0004082300000000094
264726,0.5004416,0.49955842,Off to buy groceries! My life is so exciting!,0.000441579999999997
182445,0.49952959999999996,0.50047034,Still need to finish Christmas shopping.👌🏿,0.0004703400000000135
462251,0.5004799,0.49952015,Feeling real lost right now,0.0004798500000000039
453729,0.50048256,0.49951747,Why am i awake. And hungry,0.00048252999999998103
104546,0.50051147,0.49948853,I have bad bags and i don't cover it with make up bc I need that time for my sleep so my bags don't get worse ja feel????,0.0005114700000000139
109793,0.49948463,0.50051534,I don't want to go to work 🙈,0.0005153399999999753
252477,0.4994845,0.5005155,I don't want to go to work 😪,0.0005155000000000021
475123,0.49943924,0.50056076,"I feel, look, and an so fat man. 😧 I NEED to workout.",0.000560760000000049
281417,0.49943350000000003,0.5005665,Why ya’ll hate Haitians man?,0.0005665000000000253
443415,0.49938536,0.5006147,"All these people are done with school... Meanwhile, I have 2 weeks left 😑.",0.000614699999999968
173494,0.49933115,0.5006688,My body hates me. Fr,0.0006688000000000249
333125,0.50066984,0.49933013,i miss the fuck out of california,0.0006698700000000168
126472,0.5006844,0.49931562,Work in the AM but I'm not tired at all :/.,0.0006843799999999844
378111,0.50071776,0.49928218,Start my job tmr.. Lowkey nervous,0.0007178199999999801
330255,0.50072724,0.4992728,K sorry for caring about your well being ....,0.0007271999999999834
106242,0.49925867,0.5007413,Simply because the harvest is plentiful but the laborers are few (10).,0.0007412999999999448
402665,0.49924374,0.50075626,I don't act funny ... Just been staying to myself 😤,0.0007562599999999531
164587,0.5007709,0.49922910000000004,I haven't laughed as much as I laughed this weekend in so long. I stayed crying bc I couldn't stop laughing,0.0007708999999999633
158378,0.49921579999999993,0.5007842,My doctor's appointment was at 3...I've been sitting here for an hour with pain in my chest I'm going to die here,0.0007842000000000127
219420,0.49918097,0.50081897,I feel too young... that is not a good thing,0.0008189699999999744
347312,0.50082505,0.49917492,my pants are gone and I can never wear pants again https://t.co/2N7lFoHRhb,0.000825079999999978
493770,0.5008378,0.49916223,@SPICYTHOT I've just came back from a 4 day hiatus,0.0008377700000000154
426684,0.49912983,0.5008701,@SlaveQofHearts I just died a little inside.,0.0008700999999999848
219058,0.49912,0.50088,my head hurts a lot,0.0008799999999999919
298492,0.5008967000000001,0.49910328,I'm a young nigga living out my fucking dreams,0.0008967200000000175
423646,0.49907702,0.500923,"@byobrooks Look, I was a surly, angsty teenager. That's all I can say.",0.0009230000000000071
112063,0.49905202,0.500948,"@Been928 good to hear, I know u happy",0.0009479999999999489
261371,0.49902683,0.50097317,Laid in bed all day and had crab legs for dinner. Rough life.,0.0009731699999999677
402078,0.5009808,0.4990192,@_Allison24 Bruh I got fat 😳,0.0009808000000000039
191370,0.500992,0.49900797,"RT @tarashoe: 21 year old: i invented some very important app. i am 21

me: yeah one time i grew my bangs out almost completely. i am also …",0.000992029999999977
237156,0.49898517,0.5010148,@Jose_10_Suarez I'm off tomorrow tho 😊,0.0010147999999999824
441640,0.49895829999999997,0.5010417,I really like what you done to me ! Can't really explain it ! I'm so in to you. 💕,0.0010417000000000343
387531,0.49893662,0.50106335,Asking me if Im hungry is like asking me if I like money.,0.0010633500000000184
130898,0.49890524,0.50109476,ima cry so bad when makala graduate ..that's gone be a pain i never felt before 💀,0.0010947599999999724
194459,0.50109845,0.49890155,@galuade_ but i feel so isolated and adrif and out of place.  how can that be right,0.001098449999999973
448256,0.49884653,0.50115347,Someone go bowling with me. I haven't been in years 😭,0.0011534699999999898
397083,0.50116044,0.4988396,sorry not sorry but I'm saving myself for jcole 😌,0.0011604000000000059
23757,0.49883342,0.50116664,Whole mood just got killed,0.0011666399999999966
87494,0.5011842000000001,0.49881575,Can't fall asleep. 😠,0.0011842499999999978
309479,0.49876679999999995,0.50123316,@thereadingzone Yes. I couldn't go back yet. I have more planning and reading to do!,0.0012331599999999554
211543,0.5012386999999999,0.4987613,Funny I feel nothing.,0.0012386999999999815
439518,0.49873242,0.50126755,@LiamWhite_19 ohh *nods and plays with the buttons on your shirt* well you just saved me from forever becoming blind so my anger disappeared,0.0012675500000000062
53066,0.49873057,0.5012694000000001,RT @Denzel_A: I got such a bad temper but I'm a goofy person 😂💯,0.0012694000000000871
83923,0.501275,0.49872497,My parents really don't understand that's it's not easy having school and work,0.0012750300000000103
10093,0.49871415,0.5012858,sick of everyone and everything,0.0012858000000000036
85260,0.49866635,0.50133365,it's been like 4 months get over it #imhisgf 😘😘😘😘😘😘😘,0.001333649999999964
229112,0.49865950000000003,0.5013405,She get too fuckin smart,0.0013404999999999667
338774,0.49865037,0.5013496000000001,"Ohhhh look at me, I quit Twitter, I have a life now. https://t.co/J2W5f9QA75",0.0013496000000000619
221989,0.50135106,0.49864894,My bus is too packed fml 😭😩🔫,0.001351060000000015
330920,0.49864525,0.5013547,Man I miss my son 😏,0.001354700000000042
466233,0.50136256,0.49863747,"I met a lot mfs in my life span.  Some hate me, some love me. some judge me, some support me, some cant stand me, some love to be around me",0.001362529999999973
265893,0.49854532,0.5014547,how the fuck am i supposed to concentrate when im literally trying to lay my head down on this desk..??,0.001454700000000031
169030,0.50147474,0.49852526,@darnedwell it ok I think I just need to get my ass to a doctor lmao,0.0014747399999999744
459319,0.50147694,0.49852303,Say ya miss me and ya wishing for some private time,0.0014769700000000219
325449,0.5014829000000001,0.49851709999999994,I. Am. So. Drained.,0.0014829000000000647
85962,0.49847493,0.50152504,This headache tho ...,0.0015250399999999775
156907,0.49841395,0.501586,Today is bae birthday and he abusing it,0.0015859999999999763
92448,0.50163376,0.49836620000000004,Nobody wants to be alone,0.001633799999999963
141883,0.5016623,0.49833766,"RT @_DOOM___: This so fucking real.. I was stationed in Germany &amp; met a Nigerian. I said ""what up bro"" her said ""you no brother o… ",0.0016623399999999844
162981,0.50167775,0.49832228,"So, Louis album is not finished yet 🤔",0.0016777199999999937
271322,0.49831936,0.5016805999999999,Gotta get rest. I gotta go get a few clips tomorrow.,0.001680599999999921
213935,0.50170594,0.49829406,Like Im just waiting till April gets here... Like damn,0.0017059400000000169
87011,0.49827158,0.5017284000000001,Now I'm ugly as shit! 💩😂,0.0017284000000000743
337838,0.501733,0.498267,@_Branyaa @2PhoneShelby I was mad assel he gon grab my hand I was like um no bye,0.0017329999999999846
460806,0.5017379,0.4982621,I hate crying but I'm honestly so sad,0.0017379000000000144
104131,0.49826097,0.501739,I had a nightmare about riff raff and now I can't go back to sleep,0.001739000000000046
75219,0.50175273,0.49824727,My boyfriend really think he's my daddy lol,0.0017527299999999801
462299,0.49824378,0.50175625,Accidentally slept for 12 hours,0.0017562500000000147
78854,0.50176567,0.49823436,Money over everything money on my mind then she wanna ask when it got so empty,0.0017656400000000128
501924,0.49823409999999996,0.5017659000000001,RT @ShianneAlia: wow i'm so tired,0.001765900000000098
83299,0.49818787,0.50181216,I'm an idiot 😂,0.0018121599999999516
201185,0.49816796,0.50183207,just ate 7 pieces of pizza and then layed in bed and don't expect to move the rest of the night,0.0018320699999999634
48530,0.49811813,0.50188184,"I WISH I HAD FRIENDS WHO WANTED TO GET TOGETHER AND COOK AND PLAY GAMES AND DRINK AND FRIENDSGIVING, but no everyone hates me.",0.0018818400000000235
356301,0.5018967000000001,0.49810332,gotta stop being so negative,0.001896679999999984
191199,0.498093,0.501907,Im hungry af,0.001906999999999992
232381,0.50192857,0.4980714,I have 11 dollars to my name until I get paid in 2 weeks #cool,0.0019286000000000025
185164,0.5019640999999999,0.49803594,*sighs* last day with the BS.. fuck you and your life 🖕🏼,0.0019640599999999897
