,id,neg_model,pos_model,text,class
0,1761,0.8427269,0.15727307,@jonniker Quinn was self employed and is now laid off and in eligible for unemployment and I am stabby. I hate the tax system.,0
1,136,0.1822878,0.8177121,whats funny is the job i had today wasnt even mine the guy didnt show up at all i just took over &amp; the designer hired me #blessed💃🏽,1
2,4706,0.50734776,0.49265224,I have been working for 4 days but my dependents pass has not been upgraded to an employment pass yet. I am the illegal immigrant,1
3,1545,0.13473631,0.8652637,Yesterday I got a job and today I got a call from them and I was like oh no this is where they found my Twitter and tell me I’m fired but false alarm it’s all good.,1
4,6520,0.18861271,0.8113873,Crazy how I lost my job then got a different position at the same company now Im making more,1
5,3651,0.27984795,0.720152,I cant believe working 2 weeks straight is a normal thing at my new job,1
6,4044,0.109584555,0.89041543,Got hired today to work as quality control at a lab. 12 hr shift for 4 days. Lord help me lol.,1
7,350,0.93822724,0.061772767,I am job searching for: Work at home jobs! http://t.co/4tgcXWg6JK — Walker Inklebarger (@Walker_marocliv.... http://t.co/eXIeEZM9cC,0
8,4,0.14480785,0.8551921,GOT LAID OFF FROM MY JOB 2 WEEKS AGO AND I WAS KINDA SAD but thank god bc now Im doing photo work for Drais beach club,1
9,7137,0.56296927,0.43703073,Today is the first time since 2006 I am not under contract as teacher with SJSD. Weird feeling. Im technically unemployed right now! Holla!,0
10,83,0.103128955,0.89687103,I got hired at 2 places.. God is so good yall,1
11,6714,0.8774896,0.12251039,I Was Fired for Making Fun of Trump https://t.co/8vzN2YLfjA,0
12,254,0.12271973,0.87728024,I GOT HIRED MOFUCKA!,1
13,4275,0.8323203,0.16767977,# unemployed 😔,0
14,3774,0.716785,0.283215,cant believe i was just unemployed 50K divorce debt 40K hit by IRS no health insurance forced to buy it from the government or be fined..,0
15,2583,0.9411707,0.058829322,Looking to make an impact and join an amazing team? Check out our open positions! https://t.co/zzC82UDWkj https://t.co/fBfzKNwIhi,0
16,5841,0.55339146,0.44660848,My new Job site has 4 floorsa Elevator and a pool https://t.co/D0W7wLa1l6,1
17,8,0.7099253,0.2900747,I WASNT FIRED I WAS LAID OFF BUT YOU WOULDNT KNOW THE DIFFERENCE,0
18,4987,0.59677273,0.40322727,Call me bitter but its bullshit that I worked my ass off and got fired from my job but people fuck around and dont get fired #FuckThat,0
19,7384,0.49506116,0.50493884,My employment has been rocky this year. I quit my job today after my supervisor threw her badge at me.  I needed her credentials for my refund request for a customer. New job stars next week Nebraska this weekend to see family!! Short vacation!!,1
