,neg_model,pos_model,text
7042623,0.020523343,0.97947663,I'm not getting any hours at my current job. Anyone hiring??
6394969,0.020831838000000002,0.9791681999999999,I need a second job who hiring?
4658463,0.020902779,0.9790972,I need a better job. Anyone know of places that are hiring?
6043733,0.021143703,0.9788563,"I need another job, who hiring?"
8506987,0.021155737,0.9788441999999999,"I need another job, anyone know of anything??"
7177917,0.021208994,0.978791,i need a new job. does anyone know of any studios that are hiring?
5107673,0.021262046,0.9787379,I want a new job who hiring?
3628705,0.021266682000000002,0.97873336,whos hiring though? i need a job !
6888220,0.021357552999999998,0.97864246,Who know of some job leads I need another one
8605000,0.021393841,0.97860616,I need a second job who hiring
7274194,0.02143498,0.97856504,"Anyone know of job openings? (no sales, please) still waiting to hear from a few places but that doesn't mean I should stop looking, right?"
5814008,0.021483032000000003,0.978517,I need another job who hiring
942538,0.021502817,0.97849715,I NEED A JOB. Does anybody know of places that are hiring?
2383582,0.02151465,0.9784854,Who hiring? I need a second job.
4848633,0.021545723,0.97845435,Anyone know a job that is very flexible and is hiring ?
6436921,0.021591427000000003,0.9784086,A second job would be nice though who is hiring ?
8272486,0.021599200000000002,0.9784008,Looking for a new job? Anyone know of any available??
8824016,0.021666803999999998,0.9783332,I need a new job now! Does anyone know anywhere hiring?
4907428,0.021724962,0.97827506,Is anyones work hiring?
3947284,0.021766337,0.97823364,Does anyone know where their hiring? I need a job.
2581405,0.02178233,0.9782177,I want a job. Anyone know of a place that is hiring?? NOT MCDONALDS!
8985109,0.021789249,0.97821075,does anyone know any jobs who are hiring at the moment?
3871760,0.02182745,0.97817254,Need another job. WHAT PLACES ARE HIRING???
1074477,0.021837197000000003,0.9781628000000001,I hate this job man... Who hiring?!
104441,0.021863455,0.9781366,I need a job in Jacksonville. Anyone know where they are hiring ??
5871311,0.021865653,0.97813433,I need another job who hiring 👀👀👀👀
8731429,0.021872133,0.97812784,Anyone know jobs that are hiring ?
5332864,0.021875332999999997,0.9781245999999999,Who knows any jobs hiring?
4148068,0.021878961000000002,0.9781211,Who hiring? I need another job.
1597375,0.021878961000000002,0.9781211,Who hiring? I need another job.
3912729,0.021893292999999998,0.97810674,"I Need Another/New Job, Who's Hiring?"
581640,0.021937365,0.97806257,"I seriously need a job , who hiring ?!??"
4099535,0.021954908999999998,0.9780450999999999,Working at Sallys amount paying all my bills I think its time to get a second job! Any one know who's hiring?
8322103,0.021971947999999998,0.9780280000000001,I need a new part time job. Who's hiring??
6604090,0.021996805,0.97800314,need another job who hiring
2737314,0.021996805,0.97800314,Need Another Job Who Hiring
9091289,0.022033997000000003,0.977966,I need a job. Anyone hiring or know of someone who can help me out?
8152794,0.022036847000000002,0.97796315,any places that are hiring? i need a second job.
4292762,0.022047532999999998,0.9779523999999999,Anyone know any where that's hiring? From monroe to Charlotte? I don't care what the job is
285432,0.022087392999999997,0.97791266,Anyone know of a job that's hiring?
6204586,0.022103433999999998,0.9778966,I need a job who hiring
8121786,0.022103446000000002,0.9778966,I need a job who hiring
1554774,0.022111002,0.97788906,I need a new job anyone know where they are hiring in beeville ?
7753388,0.022123279,0.9778766999999999,I need another job. Anyone hiring???
1243587,0.022149252,0.97785074,Is anyone's work hiring??
1841888,0.02215518,0.97784483,Anyone know any jobs that's hiring?
3218391,0.022155242000000002,0.9778447,"Trying to get a second job, anyone know of any good bars/restaurants in Frisco that are hiring?"
8392393,0.022170976000000002,0.9778290000000001,I need a new job. Anyone know of any places?
3966310,0.02219057,0.9778094999999999,I need a second job paying more than $11an hour any know who's hiring???
7448138,0.02219361,0.9778064000000001,I want a third job who hiring...
2138709,0.0222008,0.97779924,I need a job who's hiring?
3126577,0.022252645,0.9777474,Does anyone know of a place that is hiring? I forreal need a job!! One that pays like 10 or more
8714490,0.022253169,0.9777468,Anyone know of a graveyard job hiring ?
2835586,0.02227773,0.9777223,Since Sams not tryna give me my job back who hiring?
2811557,0.022277942000000002,0.97772205,who hiring though? I need a new job
8811979,0.022279362999999996,0.9777206,"i Am RT arantzasuuu_22: I need a second job, anyone know who's is hiring ?"
4128578,0.022335077000000002,0.977665,I need a new job asap. Who hiring?
8281819,0.022338933999999998,0.97766113,Whos hiring? I need another job...
4259586,0.022341637,0.9776584,Does anybody no of anywhere that's hiring?? I need to get a job like soon.
1500790,0.022351861,0.97764814,Anyone know of any places that are hiring? I need a job :-(
4439449,0.022357997999999997,0.97764194,I need a job 😁 who knows of someone that's hiring?
6520100,0.022360513,0.97763944,Anyone know of any office jobs hiring ?
5819442,0.022365207,0.9776348,does anyone know of anyone hiring because I need a job desperately
4427848,0.022371528999999998,0.9776285,Anyone know any jobs that are hiring through the school? Preferable less than 20 hours a week?
4245287,0.022373108,0.9776269000000001,NOW youre looking. RT @ITSfuckinSway: I need a new job .. What are some places hiring ?
4655850,0.022374786,0.9776252000000001,Anyone know of places hiring ? I need a second job .
5621491,0.022377688,0.9776224,I need a job any one knows where are they hiring?
7980841,0.022380745,0.9776193000000001,I need a job.. Does anyone know of places hiring?
7477198,0.022403713,0.9775963,Is anyone looking for a roomate i have options but they might not work out in willing to pay for half rent and groceries? ?
570119,0.022412766,0.9775872999999999,who hiring ? i need a 2nd job .
3258500,0.022415182999999998,0.9775848,I'm looking for a job on Tuesday and Thursday. Is anywhere hiring?
4380517,0.02242102,0.97757894,Anyone know where jobs are hiring ?
1310123,0.02243529,0.9775647,"""@CVallid: I need a job ....who hiring??"""
5690403,0.022441346,0.9775587,"Like as serious as I can possibly be serious, does anybody know of anywhere that's hiring? I NEED a job more than ANYTHING right now"
2936018,0.02245634,0.97754365,RT @deearaiza: “@garrettjosiah: Does anyone know of places that are hiring? I want a new job”
5503486,0.022456625,0.9775434000000001,"I need another job on the weekends, anyone know any places?"
5785314,0.022458052000000003,0.9775419,I need a second job 😭😭 paying more than 11 and hour . Who job hiring ?
7728632,0.022458695,0.97754127,I need to get a job soon. Who's hiring?
503103,0.022463962,0.9775360000000001,Anyone know how any places that are hiring? I really wanna work more in the medical field.
7094324,0.02246456,0.9775353999999999,' who hiring?? I need a job !
6141449,0.022471137000000002,0.9775288000000001,Who hiring ? I need a another job ASAP ‼️
5485377,0.02247887,0.97752106,"Who hiring yall, Bo need a new job?"
2833596,0.022492462999999997,0.97750753,Looking for a second job. Anyone know who's hiring???
4745316,0.022505547999999997,0.9774944,"REALLY need a new job. So if anyone knows of places hiring, PLEASE LET ME KNOW!"
3335800,0.02253055,0.9774695,Does anybody I know have connections to a place that is hiring? I need a job asap
8561118,0.022549644,0.9774504,I want a second job. Anyone know who's hiring ?
2970413,0.022555232,0.97744477,Anyone know of places hiring? I need a different job.
7865654,0.022563212000000003,0.9774368,I need a new job 😭 anyone know of anywhere that's hiring?
3457827,0.022563707000000002,0.97743636,Does anyone know of any jobs that are hiring?! I need one fast!
4317637,0.022564115,0.9774359,I need some help running this thing. I got slots for 11 people! Anyone need a job??
4241368,0.022585979,0.9774139999999999,I'm looking around for a new job. Anyone know of anywhere that is hiring?
8871878,0.022586454,0.9774136,"I need a new job, anybody know of any places hiring?"
3585696,0.022588067000000003,0.9774120000000001,I needs second job... Who hiring?
3874959,0.022593707,0.97740626,"Well i know people will probably say fake shit back to this but, does anyone know of any jobs hiring?"
8037909,0.022598067000000003,0.977402,Are anyone's works hiring? I'm in dire need of a second job.
4561435,0.022604346,0.9773957,Yo anyone know of any good places that are hiring? Looking to make around $10/her or more. Also restaurants work too.
5443299,0.022604894,0.9773951,Does anyone know of any good jobs that are hiring ????
5627050,0.02260501,0.9773950000000001,"Ima Need A Job Soon.
But Idk Where The Fuk To Apply."
8023834,0.02261171,0.97738826,I'm looking for a part time job...Anyone know places that are hiring?
3545096,0.022625672000000003,0.97737426,Need me a second job. Who's hiring?!
2771260,0.022637205,0.9773628000000001,Whose hiring.? I need a job really bad
5259246,0.022662645,0.97733736,"I need a job, anyone know of anyone hiring?"
7442152,0.022673337000000002,0.9773267,Anyone know of any places hiring? I need a job desperately!
7355038,0.022678385,0.97732157,"I need another job, any places in grove city area hiring?"
8022186,0.022696381,0.97730356,"I really want a job working with kids, anyone know of any places?"
1163154,0.022714391,0.97728556,I need a new job.. Whose hiring?!
9213228,0.022717142000000003,0.9772828000000001,Anyone know of any places that are hiring? I need a 2nd job again
8367057,0.02273439,0.97726566,I need a new job. Anyone hiring?
6913722,0.022738843999999998,0.9772610999999999,"RT @DanTellezbian: ""@KayNoLie: Does anyone know anywhere that is hiring ? I need a job"""
7820380,0.022757797000000003,0.97724223,Who job is hiring??
1796061,0.022768062000000002,0.977232,RT @lannni_: So does anybody know any places that are hiring?... Because I totes need a job and I feel like yal think I'm joking or somethi…
2562723,0.022768667000000003,0.9772314000000001,Anyone good at precalc and need a job??
5345763,0.022771588,0.9772284,"Anyone know a place that's hiring?? 
I'm desperate for a job"
2510422,0.022774383,0.9772255999999999,Does anybody know of places that are hiring I need a new job
4138378,0.022795826,0.9772042,"Hey superior people, know of any job openings for the summer?"
