,neg_model,pos_model,text,dist_point0.725
116455,0.27498758,0.7250124,Last night 😩,1.2400000000023503e-05
66669,0.27497697,0.72502303,I'm a literal mess.,2.3030000000034967e-05
474045,0.2749685,0.7250314999999999,Question 1. How old am I?,3.1499999999962114e-05
407132,0.27494553,0.72505444,RT @TellEmBoutBanks: My freshman year was the best year pid,5.443999999998894e-05
508902,0.27506903,0.72493094,#i would love to win this! 💚Repost from shannanoel with repostapp---A couple weeks ago I saw that… http://t.co/SkDTYjtRqJ,6.905999999995416e-05
537760,0.27492476,0.72507524,"RT @SoDamnTrue: what a day!!!!!!!!

nothing happened and i was tired",7.524000000003195e-05
313494,0.2749236,0.72507644,My girlfriend is so freaking pretty ,7.644000000006645e-05
172218,0.2750942,0.7249058,"RT @Smile_Bryce: Your daughter thinks I'm great.
I know",9.419999999993323e-05
180155,0.27511296,0.724887,Officially done with my last day of work. Just two more days and I will start heading to school.,0.00011300000000002974
305684,0.27488375,0.72511625,"""But I was a mere dandelion to you, and with one breath, you scattered my brains.""",0.00011625000000003993
217912,0.27486253,0.7251375,Lauren just admitted to hating me,0.0001375000000000126
3661,0.27513826,0.72486174,Hello everyone! (:,0.00013825999999994565
122811,0.27515814,0.7248419,I was nervous as hell when I moved to Arizona three years ago. My first time living outside Ohio.,0.00015809999999993885
237868,0.27516088,0.7248391,@LanaAnthonys wanted to lie someone asked me out,0.00016090000000001936
231607,0.27517226,0.7248277,@sfef84 I forgot to make my tweet literally drip with irony,0.0001723000000000141
481559,0.27519634,0.7248036999999999,RT @yassymonroe: Getting somebody to pick up my shift at my job is literally impossible.,0.0001963000000000381
149425,0.2748007,0.7251993,Took me a whole day to remember how I got a cut on my leg but after soul searching I remembered that I ran into something when I was drunk 🙃,0.00019930000000001336
80281,0.27477607,0.7252239,RT @Op_Flawlesss: I feel so emotional today. Wth,0.0002239000000000546
520944,0.27474496,0.725255,Ive just been molested by kelsey lillard,0.0002550000000000052
385890,0.27525926,0.72474074,RT @CodyWody925: I think Dez gonna go OFF this year,0.0002592599999999834
300969,0.2747063,0.72529364,@fancydrak but I think i'm going to take a break soon cuz i'm trash,0.0002936399999999839
193684,0.27532473,0.7246753,Damn Ima get dropped from my math class,0.0003246999999999556
34768,0.27536628,0.72463375,RT @cristinders: Everyone dropped me and that's okay,0.0003662500000000124
454939,0.27536705,0.7246329,i'm losing weight and i'm so relieved 😩😭,0.0003670999999999536
175446,0.27462456,0.7253754,@xoxodrose my cousin,0.0003754000000000257
579085,0.27461597,0.72538406,i really don't want a daughter.,0.0003840600000000194
229866,0.2754528,0.72454727,RT @chilltyler: at least i'm not as sad as i used to be,0.0004527300000000123
300908,0.27545905,0.724541,@YounesOughla I works prefer if they just picked them from up from me. :),0.0004589999999999872
584010,0.27548942,0.72451055,never mind he unmatched I always knew I was uGLY,0.0004894500000000024
309955,0.2754968,0.72450316,@Brielle__xox yasssss lol i say ur friend tho lol my classes end at 9:15,0.0004968399999999429
263931,0.2755261,0.7244739,I'm having a panic attack:(,0.0005260999999999738
358072,0.2756255,0.7243745,RT @Green_Life14: I didn't get a message from nobody this morning,0.0006254999999999455
493304,0.2743712,0.7256288000000001,I just ragequit a game called Nom Nom Galaxy,0.000628800000000096
137784,0.2756479,0.7243520999999999,Waisted so much time and now I just look like an idiot,0.0006479000000000346
409357,0.27566284,0.72433716,RT @smarie_143: In the mood to hang out with new people all the time but I'm just so awKWARD,0.0006628399999999424
3576,0.27566540000000006,0.72433466,"Supposed to leave it on for 10 minutes, but I just can't.",0.0006653399999999587
48492,0.27433196,0.7256680999999999,RT @EthanDolan: I just sneezed 5 times in a row and it felt so good,0.0006680999999999493
431040,0.27569040000000006,0.7243096,"My dad was just as drunk as me last night, so he couldn't even tell I was fucked when I came home at 6am",0.0006903999999999799
233815,0.27570300000000003,0.7242970000000001,RT @PsychoGF_: I should've gone into a career path where I can just get paid to argue with people since that's all I do anyway,0.0007029999999998982
553194,0.2742901,0.72570986,My side and shoulder hurts so bad 😢,0.0007098600000000621
507547,0.27426425,0.7257357,"RT @arrii_cx: I just don't got time for niggas anymore , like my time with guys has been wasted lmfao. I needa enjoy my single life &amp; turn …",0.0007357000000000058
452914,0.2742638,0.7257361999999999,#LivinMyDream dropping tomorrow who's ready😏💯,0.0007361999999999647
160379,0.2742582,0.7257418000000001,"I have more makeup than clothes - yeah, I need to change that up this summer. Totally ready for the summer ✨",0.0007418000000001257
262462,0.27574596,0.7242541,"@Venom0wl @deathformer My luck has varied between different kinds of paints, temperatures, humidified, etc.",0.000745899999999966
24946,0.27575687,0.72424316,"""I'm going to have a great weekend""
*gets sick*",0.0007568399999999809
283555,0.27424309999999996,0.72575694,PEYTON DID SOMETHING,0.0007569400000000392
