,neg_model,pos_model,text,dist_point5
6514150,0.5000011999999999,0.4999988,God is good. I’ve been asking him to let me get the jobs I’ve been applying to but today he blessed me with the summer job I’ve been wanting! I get to spend my summer working with powerful young ladies that will be the next generation of leaders &amp; I couldn’t be more excited! 🌹😭,1.1999999999789956e-06
3974425,0.5000019,0.49999812,Lol ... I'm helping these kids with their homework .,1.8800000000096517e-06
437096,0.49999788,0.50000215,"See our latest #Fairfax, VA #job and click to apply: Help Desk/Support Specialist - TS + FSP REQUIRED - http://t.co/C9RSyab2KZ #IT #Hiring",2.150000000034069e-06
7033487,0.50000226,0.49999774,"RT @mattZillaaaa: [job interview] 

""So it says on your resume that you're a real people person""

Can you stand back a little? You're in my…",2.25999999997617e-06
8898917,0.5000032,0.49999679999999996,@jxal3ci0 YOUR NOT FEELING WORK!?,3.200000000036507e-06
1930769,0.5000038,0.49999616,"RT @DBaide___: A girl told me you have your own spot , own car , a job and your young .. Why are you single , what's the catch 🤔 , shit if…",3.839999999977195e-06
4385656,0.5000042,0.49999586,I have so much work to do this week! Pray for me folks! #prayer #college #senior #cantwaitforspringbreak,4.139999999985822e-06
5429326,0.5000042,0.49999586,Got some work done last night and some today.  Fixing to start another long work session.  #AboutThatLife #FWM #Rev #Revolution,4.139999999985822e-06
6293372,0.50000435,0.49999568,HomEKUming is the only thing that will be on my mind at work tomorrow. Here's to a great weekend. 🎉🍻🏈,4.3200000000021e-06
7507747,0.49999560000000004,0.5000044,"RT @RWSalt: I Stand for Faith, Truth, Family, Work, Loyalty, Self Discipline, Defending Most Innocent, Personal Responsibility &amp; Helping Ot…",4.400000000015503e-06
6320454,0.5000064000000001,0.49999365,"Want to work at Supplemental Health Care? We're #hiring in #Charleston, WV! Click for details: https://t.co/hklYt04I9m #Nursing #Job #Jobs",6.3499999999883094e-06
3465042,0.50000644,0.49999353,Looking For A Way To Earn Great Money Online?: Make 1000s Monthly With Over 600 Workathome Firms Listed I... http://t.co/o2Q8d5RSN9 cscs,6.469999999980658e-06
6088720,0.49999294,0.5000071,“@mymusiccantstop: mkay I seriously have to stop leaving my phone charger at work” and staying after close,7.100000000037632e-06
1589082,0.49999243,0.50000757,My park jobs at school😁,7.569999999956778e-06
4820643,0.5000077,0.49999234,"@edieharris If only I didn't have to work tomorrow, I'd be putting the miles on my Corolla right now.",7.660000000020428e-06
748060,0.49999234,0.5000077,416 Jobs available in #Nashville. Apply now and land the job of your dreams http://t.co/C2xidT86bR,7.700000000054885e-06
3824291,0.49999157,0.5000084,#Job #Jacksonville Server (North Beach Bistro 725-6 Atlantic Blvd): Seeking professional server with at least ... http://t.co/jrzaayTBJc,8.400000000019503e-06
7274255,0.49999154,0.50000846,RT @kate__dunn: I just want that girl @daniellediazzzz to stop working nights and hang with me,8.459999999987922e-06
5749120,0.5000087000000001,0.49999129999999997,"@_dejaaaavuuuu well if you call you just have to be patient because she be having a lot of people on hold , it's a stressful job",8.70000000002813e-06
1754337,0.5000087999999999,0.4999912,@andi_s13 Now it's hard for me to sit at work haha,8.799999999975494e-06
6437079,0.49999099999999996,0.500009,"Turns out I scheduled my hair appointment on a night I have to work..... Go to reschedule , next available appointment is 4/22",9.000000000036756e-06
4933077,0.49998975,0.50001025,@Hanimal143 ughhhhhhh i gots to work or id be #1 fan :(,1.0249999999989434e-05
4583691,0.49998906,0.5000109,The amount of work I have to do before finals is unsettling,1.0900000000035881e-05
1694751,0.49998869999999995,0.5000113,@coaltin my mom came by and got em bc her work is conveniently having a clothes drive,1.1300000000047383e-05
7646356,0.49998859999999995,0.50001144,Im trying to motivate myself to do homework but all i wanna do is go for a nice run!,1.1439999999973693e-05
2090254,0.50001156,0.49998844,The time I have between church and work is not long enough for a good nap,1.1560000000021553e-05
4285635,0.49998823,0.5000117999999999,Time to catch some lunch an then off to work 💸,1.1799999999895228e-05
59316,0.49998796,0.50001204,"If you're looking for work in #AnnArbor, MI, check out this #job: https://t.co/NLEsDs7HmZ #parttime #Hospitality #Veterans #Hiring",1.2039999999990947e-05
1960853,0.49998770000000003,0.50001234,No one knows how proud I am of myself. Just a couple of months ago I ready to give up and call it quits.,1.2340000000055085e-05
5728926,0.49998716,0.5000129,"Interested in a #Accounting #job near #DENVER, CO? This could be a great fit: https://t.co/yxMrkgcVns #Hiring #CareerArc",1.289999999998237e-05
