id,text,class,ProcessedText,ProcessedText_length
1680,today I signed a contract quit my old job quit my new job then unquit my old job  so that was just great 🎃🔫,1,today i signed a contract quit my old job quit my new job then unquit my old job  so that was just great 🎃🔫,25
4111,I just got hired as a electrician and I start tomorrow,1,i just got hired as a electrician and i start tomorrow,11
6143,Last day at the old job. Next week I start a new position which I found through @coreintjobs!,1,last day at the old job. next week i start a new position which i found through @coreintjobs!,18
963,Get HIRED Today to Work for @LoveNightClubDc were HIRING for Multiple positions Txt 3013436531 for application http://t.co/xK878Mxvip,0,get hired today to work for @lovenightclubdc were hiring for multiple positions txt 3013436531 for application http://t.co/xk878mxvip,17
6537,I got a job today 2s later I got fired,1,i got a job today 2s later i got fired,10
4078,whatever i got hired today so thats good,1,whatever i got hired today so thats good,8
1948,At my new job some guy had a dog in his office &amp; I asked my boss about it &amp; he casually told me they sometimes just BRING DOGS TO WORK!!!,1,at my new job some guy had a dog in his office &amp; i asked my boss about it &amp; he casually told me they sometimes just bring dogs to work!!!,31
4486,Anyone looking for a job wanting to drive a tow truck?!?! Get ahold of me kalebs looking to hire someone asap!,0,anyone looking for a job wanting to drive a tow truck?!?! get ahold of me kalebs looking to hire someone asap!,21
7868,My employment has been rocky this year. I quit my job today after my supervisor threw her badge at me.  I needed her credentials for my refund request for a customer. New job stars next week Nebraska this weekend to see family!! Short vacation!!,1,my employment has been rocky this year. i quit my job today after my supervisor threw her badge at me.  i needed her credentials for my refund request for a customer. new job stars next week nebraska this weekend to see family!! short vacation!!,45
1269,Interested in working at @sus_org? Check out what opportunities might be waiting for you!  https://t.co/brX0vRwl8Y https://t.co/gsBowjXCrq,0,interested in working at @sus_org? check out what opportunities might be waiting for you!  https://t.co/brx0vrwl8y https://t.co/gsbowjxcrq,17
4928,After being unemployed for 5 months i went into Olive Garden interviewing for a to go position &amp; got hired on the spot as a SERVER!#blessed,1,after being unemployed for 5 months i went into olive garden interviewing for a to go position &amp; got hired on the spot as a server!#blessed,26
4052,Got hired today to work at The Cheese Cake Factory. Got a job,1,got hired today to work at the cheese cake factory. got a job,13
253,I GOT HIRED MOFUCKA!,1,i got hired mofucka!,4
2166,Searching for #work in Santa Fe NM? Send your #resume to New Mexico State Personnel Office. http://t.co/4krwNDdDYo #gethired,0,searching for #work in santa fe nm? send your #resume to new mexico state personnel office. http://t.co/4krwndddyo #gethired,18
7544,Job searching is never easy but anybody who knows me know I wont be unemployed for long,0,job searching is never easy but anybody who knows me know i wont be unemployed for long,17
8815,Good news! I have been hired by an employer today! However i am currently broke and seeking funds for… https://t.co/7SAzBWsXFj,1,good news! i have been hired by an employer today! however i am currently broke and seeking funds for… https://t.co/7sazbwsxfj,20
5719,I got laid off on Monday needing to find a job quickly also hoping my house~ https://t.co/EBlIQaTyhn #pray #prayer https://t.co/KK4e7zDX6b,0,i got laid off on monday needing to find a job quickly also hoping my house~ https://t.co/ebliqatyhn #pray #prayer https://t.co/kk4e7zdx6b,20
1422,Unemployed Under-Employed Unhappily Employed? Find jobs &amp; career solutions on LinkedIn in JCD The Job Seeker &amp;... http://t.co/Rmgc5mEYNh,0,unemployed under-employed unhappily employed? find jobs &amp; career solutions on linkedin in jcd the job seeker &amp;... http://t.co/rmgc5meynh,18
4978,Anybody hiring ?!?!?! ya girl needs a job,0,anybody hiring ?!?!?! ya girl needs a job,8
4028,Yea so I got hired as manager of a pizza place so prob nvr eating pizza again thats my new thing,1,yea so i got hired as manager of a pizza place so prob nvr eating pizza again thats my new thing,21
3222,Got laid off today... And then got another job 5 hours later,1,got laid off today... and then got another job 5 hours later,12
513,Saw my first check from my new job today &amp; I never been happier that I got fired from my last job God is good,1,saw my first check from my new job today &amp; i never been happier that i got fired from my last job god is good,25
109,I got hired on at 8.50,1,i got hired on at 8.50,6
3024,just started my new job and some bitch i work with decided to tell me that my bf fucked her in HS? Like ok? Do you want a cookie?,1,just started my new job and some bitch i work with decided to tell me that my bf fucked her in hs? like ok? do you want a cookie?,29
115,Lost my job yesterday. Jus got hired again LOLLL,1,lost my job yesterday. jus got hired again lolll,9
3047,Ive learned more &amp; talked more with my co-workers in 3 days at my new job than I did in 3 weeks at Dicks. extremely grateful &amp; happy.,1,ive learned more &amp; talked more with my co-workers in 3 days at my new job than i did in 3 weeks at dicks. extremely grateful &amp; happy.,28
4621,Thanks to Marquita I got hired turn up,1,thanks to marquita i got hired turn up,8
7867,I started a new job yesterday and I think I want to quit already omg what am I doing,1,i started a new job yesterday and i think i want to quit already omg what am i doing,19
2544,Looking for an exciting new #job? Opportunities include a Senior UI Developer position in #Arlington VA. #... https://t.co/dClbbeWAtU,0,looking for an exciting new #job? opportunities include a senior ui developer position in #arlington va. #... https://t.co/dclbbewatu,18
