,neg_model,pos_model,text,dist_point0.725
448805,0.27497765,0.7250224000000001,I appreciate you if you appreciate my pictures,2.2400000000089015e-05
417332,0.27502329999999997,0.72497666,Cus you're my best friend and you're so good to me!,2.3339999999927308e-05
484886,0.27493520000000005,0.72506475,"we are here today in 26/Pennsylvania, doors now opened until 2pm.",6.475000000005782e-05
524631,0.27489984,0.7251002,I love you too.,0.00010019999999999474
17922,0.27511027,0.7248897,Hell of a start to the season,0.00011030000000000761
336820,0.27476856,0.72523147,"Vacation is 2 weeks away, gotta request some library books!",0.0002314700000000114
494172,0.27524877,0.7247511999999999,I've been studying for 7 hours straight so I can watch the game guilt free tonight,0.000248800000000049
203417,0.2747392,0.7252608,Thought these were beautiful!,0.000260800000000061
278456,0.27528518,0.7247149,"NYT editor Abramson steps down, replaced by deputy Baquet",0.0002850999999999271
73215,0.27530859999999996,0.7246914000000001,Ended up paying 10$ for a cheap pair of sunglasses from Claire's. Proud moment 😎,0.0003085999999998812
533751,0.27540640000000005,0.72459364,Ready hit dat spot up,0.000406359999999939
64541,0.27542153,0.7245785,Welcome to my world,0.00042149999999996357
156684,0.2754974,0.72450256,One more week 🙈🎉,0.0004974399999999601
440889,0.27450085,0.7254991,Spends 4 hours learning 30 seconds of a song,0.0004990999999999746
183504,0.27445778,0.7255421999999999,I must have liked it a couple years ago but at some point I changed my mind,0.0005421999999999372
344794,0.27557957,0.7244205,I'm over today already!,0.000579499999999955
90332,0.27438229999999997,0.7256176999999999,TONYYY,0.0006176999999999433
331386,0.27563936,0.7243606,I need a day at the beach,0.0006393999999999567
224115,0.27435586,0.7256441,Glitz tonight 😌,0.0006441000000000363
222424,0.27565157,0.7243484,Next Friday is Christmas! 🎄⛄💖,0.0006515999999999744
486416,0.27565762,0.7243424,okay it's after midnight so I can safely go to bed. good night,0.0006575999999999249
302521,0.27567557,0.7243244000000001,I just want to be successful ✊,0.0006755999999998874
469442,0.27574295,0.72425705,I my sport is swimming,0.00074295000000002
481972,0.27574638,0.7242536,"Thought I'd never want to go to school for anything but I want to be a barber so bad, I'm willing to do what it takes.",0.0007463999999999249
411083,0.27422664,0.72577333,"Work conferences are hard, especially when I'M ON A BOAT!",0.0007733300000000165
443894,0.27419376,0.7258062,Good Night Y'all. 💤,0.0008061999999999792
386124,0.27590778,0.72409225,Finally get to try out @artistcouture diamond glow powders✨😇,0.000907749999999985
80561,0.27408987,0.7259101,Still large.,0.0009101000000000248
364093,0.2738061,0.7261939000000001,I promise I'll be living in the motherland by age 40,0.001193900000000081
370850,0.27379757,0.7262024,Me and Erin got caught up in a gossip circle at Katie's 😬😂,0.0012024000000000479
159209,0.27375537,0.72624457,"@juanBlessed_mma I've gotten better, little by little about to finish my second month next week, how come you haven't gone ?",0.0012445700000000004
57380,0.27628800000000003,0.723712,"Getting ready to enter the amazing Cologne Cathedral, the tallest building in the world at the time of its completion.",0.0012879999999999558
398924,0.27630982,0.72369015,back home and got to meet my new brother😍 https://t.co/2qEFqkkMMI,0.0013098499999999458
218126,0.2763637,0.72363627,""" were you even at work? "" 

🙄🙄🙄🙄🙄🙄🙄",0.0013637300000000074
73211,0.27358207,0.7264179000000001,Spending the rest of my night watching endless episodes of fixer upper,0.001417900000000083
152477,0.27645084,0.7235491,And I'm ready for it. Yay,0.0014509000000000327
421227,0.276471,0.72352904,I love the stars this time of morning,0.0014709600000000211
17278,0.27351272,0.7264871999999999,This weekend was wasted.,0.0014871999999999108
487246,0.27653396,0.7234661,4 DAYS TILL FREE COMIC BOOK DAY!!!,0.001533899999999977
507074,0.27346203,0.72653794,IM GONNA START TOMORROW,0.001537940000000071
529530,0.27345840000000005,0.72654164,Headed to the city,0.0015416400000000108
243048,0.27664685,0.72335315,@WHLive @POTUS I plan to leave my regular job bro and work with the big homie @official_flo @_IMGRecords in Miami and go to School,0.0016468499999999775
367795,0.27668038,0.7233196,What a crazy amazing week. Time to go teach some band tomorrow.,0.0016804000000000263
264466,0.27670267,0.72329736,I trust you as far as I can throw you. 💲©®⭕️🅾G🔠£,0.0017026399999999775
129601,0.27671593,0.72328407,I like drums,0.0017159300000000322
479539,0.2732265,0.7267735,I just want to have a positive and money making year,0.0017734999999999834
221386,0.27678096,0.7232191,Nrame became an editor god,0.0017808999999999742
344381,0.2767958,0.7232042,Let's party again.,0.001795800000000014
492509,0.27311490000000005,0.7268851,Shower then back to my bed .,0.001885099999999973
371850,0.27691922,0.72308075,Can't wait for Saturday 😊,0.001919249999999928
232623,0.27695840000000005,0.72304153,I'm so happy,0.0019584699999999344
278340,0.27698547,0.72301453,The day rolls on and the work never stops.,0.0019854699999999337
37199,0.27698773,0.72301227,"All of me , loves all of you. ❤️",0.0019877299999999654
165601,0.2729815,0.72701854,My Bestfriend @Ariel__2015 coming to see me 😌🙌 I swear to god I can't wait 👭💕,0.002018540000000013
304602,0.27297202,0.727028,Moving to Houston.... Then getting my apt!,0.0020280000000000298
113153,0.27290973,0.7270903000000001,Eating dinner with Seth Rogen this summer for helping out last summer should be fun!!!!,0.0020903000000001004
79205,0.27284023,0.72715974,my dogs getting surgery today and I just want to hold him 😭,0.0021597400000000766
401314,0.27284017,0.72715986,Ayyyy jimmy,0.0021598600000000134
174003,0.272832,0.72716796,Mother Bday in two weeks!,0.002167959999999969
323106,0.27717978,0.7228201999999999,Haven't slept by myself in like a week. Lol,0.002179800000000065
142338,0.2771884,0.72281164,I'm calling it a night myself. ✌️😴💤🌜🌍🌎🌏🌛🌑,0.0021883600000000003
350161,0.2772593,0.7227406999999999,Now I have to find someone els when all I wanted was you,0.002259300000000075
422073,0.27268142,0.7273185999999999,I just want to feed the homeless on Thanksgiving with my Juju 😔,0.0023185999999999485
289737,0.27741605,0.72258395,I've been at work for two hours but I feel like I've been here for days.,0.002416050000000003
258034,0.27748945,0.7225106,Happy National Ice Cream Day!,0.002489399999999975
202017,0.2774953,0.72250473,Needing sleep!!!,0.0024952699999999384
476193,0.27759302,0.722407,The troops are coming to Evansville 🍻,0.0025929999999999565
447560,0.27761322,0.7223868,Just one day knowing I'll be running on stage and rage!,0.002613199999999982
88007,0.27235013,0.72764987,"Last few weeks left in my powerlifting journey before I move on to a new challenge a new journey, new… https://t.co/MMcSfk6yBZ",0.002649870000000054
159849,0.27233812,0.72766185,Emerson and the girls having a blast!,0.0026618500000000767
525562,0.27766284,0.7223371,time for bed,0.0026629000000000236
305287,0.2722461,0.7277539000000001,“@Sergiobangz_: Got accepted to HARVARD !!!!!!!! #Hardwork🎉🎉” congrats brutha 👏👏👏👏👏👏👏,0.002753900000000087
459784,0.27222973,0.7277703000000001,i can't focus in school i'm bkvrebconoecbcoeexon #COLORSVIDEO,0.0027703000000001143
168191,0.27219948,0.72780055,One day,0.0028005500000000128
151963,0.27219948,0.72780055,One day,0.0028005500000000128
505424,0.27207178,0.72792816,"I was mistaken for one of the nurses, I look similar to one of them. So another nurse asked me if I was working later 😂",0.0029281600000000685
261991,0.27206993,0.72793007,Liberia declares state of emergency in the midst of largest Ebola outbreak in history. 932 people have died.,0.002930070000000007
345283,0.27198884,0.72801113,"""the only reason why I was scared to get a new coach was if they were gonna make us take our earrings out for practice"" 😂",0.003011129999999973
331260,0.27801466,0.72198534,Don't even have a ride to Bri's tonight lol,0.003014659999999947
330841,0.2719753,0.7280247,the new season of oitnb comes out on the same day as my calc final haha,0.0030246999999999913
380383,0.27193490000000003,0.7280651,Back on the workout grind.,0.003065100000000043
368131,0.27814212,0.7218579,can't wait to be asked to hoco,0.0031420999999999255
523009,0.27185217,0.7281478,Financial aid finally came though,0.003147800000000034
323992,0.27814904,0.72185093,Truly blessed 🙏,0.003149069999999976
