,neg_model,pos_model,text
6050033,0.055463295,0.9445367,Aha I should prob look for a job
2816526,0.05557898,0.944421,I need a second job who hiring?
4271412,0.055822097,0.9441779,I wanna look for me a second job
2077047,0.05662871,0.94337124,who hiring though? I need a new job
911591,0.05698935,0.9430107,"I need another job, who hiring?"
5382649,0.057180497999999996,0.9428194999999999,I need a job asap who hiring
1322659,0.057192914000000004,0.9428071,I need a job but idk where
6663207,0.057374417999999996,0.9426256,Who hiring? I need a new job
5874678,0.057749268,0.9422507999999999,"I need a new job, who’s hiring"
8134952,0.05777389,0.9422261000000001,Who hiring in Marshall ? I need a job ASAP
3192574,0.05778919,0.9422108,I want a new job who hiring?
1248765,0.057856295,0.9421437,I need another job but idk where
986163,0.057881564,0.9421184000000001,WHO IS HIRING NEED A SECOND JOB ASAP
3607470,0.057922665,0.94207734,Who hiring ? I need a another job ASAP ‼️
7572629,0.05795861,0.94204134,Who hiring I need me a job
501819,0.05797051,0.94202954,N look for me a job
3505094,0.05798827,0.9420118000000001,Who's hiring I need a other job like now
159172,0.057990912,0.9420091,I's need a 2nd job
7560102,0.058020987,0.94197905,If ur lookin for a job hit me up
4405966,0.05813334,0.94186664,I need a job but idk who's hiring
766047,0.058140624,0.9418593000000001,I need job. Who's hiring?
2426752,0.058152273,0.9418476999999998,who's job is hiring?
7765814,0.058154955999999994,0.94184506,I need a JOB but nobody hiring
397823,0.058178894,0.94182104,I wonder whose hiring! Lol I am in need of a job
5272403,0.058224186,0.9417757999999999,I needa a JOB badly
8589363,0.058280144000000006,0.9417199,"I have to go job hunting, who is hiring?"
1012411,0.058363835999999995,0.94163615,i need a job but have done nothing towards getting one
3227141,0.058397103,0.9416028000000001,I might have job lined up 🙏🏾
4805384,0.058413703,0.94158626,I need a new job asap. Who hiring?
6126696,0.058453477999999996,0.9415465000000001,I need another job who hiring 👀👀👀👀
7095089,0.058492775999999996,0.9415072,Who hiring? I need a damn job 😩
7086249,0.058499925,0.9415001000000001,Who job hiring though? 😂
1535486,0.058536936,0.94146305,I need a new job but idk where to even apply to
1970834,0.058676135,0.94132394,I need a second job who hiring
2006710,0.058770172,0.9412298000000001,Who hiring i need a 2nd job
1997965,0.05882622,0.94117373,I allways find the worst possible jobs but its better than no job
5151205,0.05884814,0.94115186,who Job Hiring? 👀
7596554,0.05884814,0.94115186,Who job hiring? 👀
738644,0.05885086,0.9411491,I want a new job but idk where
1017674,0.058872383,0.9411276,Where is hiring?? I need a job😩😩
6561949,0.058926099999999995,0.94107395,But who hiring though I need a new/2nd job 👀👀
2612793,0.058934428,0.9410656,Who's hiring I need a job
5186736,0.058938300000000006,0.9410617,I need a job tho 👀
4699640,0.05895035,0.9410497,Waiting to get called for my interview I hope I get the job
2533115,0.05896516,0.9410349,Who hiring I need a job
3369496,0.058983024,0.9410168999999999,i need to go on craigslist for a jobb
7481859,0.058991737999999995,0.94100827,I gotta find another job a lil closer
659050,0.059014845999999996,0.94098514,What places hire at 15 besides mcdonalds I need a job
2773480,0.059036877,0.9409630999999999,whos hiring though? i need a job !
6892071,0.059048552000000004,0.9409514999999999,Gotta find a way better paying jobs
3400550,0.059051543,0.9409484,I need to get a job Im broke
275473,0.05905383,0.9409460999999999,Who else job hiring I need my second shit asap boi
1885827,0.059065737,0.9409343000000001,Who's hiring cause I need a job ASAP
5256201,0.059069667,0.9409303,Got my interview today at 2 hopefully my job search be over for a lil bit
7887256,0.059127066,0.94087297,Novo1 is hiring if anyone looking for a job 10 a hour
686990,0.059165463,0.9408346,I need a job who's hiring?
7403187,0.05917122,0.94082874,I need a second job hook me up
5483344,0.059198137000000005,0.94080186,I need me a job
1289582,0.059200402,0.94079965,I need to find a job omg
8801092,0.05920243,0.9407975000000001,Who hiring I need another job.
4503013,0.059220935999999995,0.9407791,"I need a second job, who's hiring?"
6243360,0.059220935999999995,0.9407791,"I need a second job, who's hiring?"
4895081,0.05928781,0.94071215,I need to get a job soon. Who's hiring?
3874150,0.059298124,0.94070184,I wanna get a new job but idk where ha
7628237,0.059322663,0.94067734,just got a third job what up
8328957,0.05934544,0.9406546,I need a job 💯 so who job hiring?
1089834,0.059392277,0.9406076999999999,Gotta get me another job
7343528,0.059408012999999996,0.94059205,Anybody job hiring
1721363,0.059427846,0.9405722,I need a job tho
1518979,0.05943924,0.9405607,Gotta find me a job
8810177,0.059451174,0.9405488000000001,I need a job job not seasonal BS
5279389,0.059451777000000004,0.9405482,I need me a 2nd job
1389388,0.059479915,0.9405200999999999,wow I need a job
1567747,0.059479915,0.9405200999999999,wow I need a job
5666601,0.05953388,0.9404661,I need another job or better one
6417958,0.059538268,0.9404617000000001,I need a roommate to move in .... any takers?  Must have a job
2234976,0.059540164000000007,0.9404598,I need to look for a new job lol that WSS isn't cutting it
2531202,0.059545482999999996,0.94045454,Really wish I can find a work from home job
8147821,0.05957374,0.9404263,Is anybody hiring I need a job asap
7334188,0.059575435,0.94042456,If so they should see I need a job I got to much time on my hands
2785540,0.05957549,0.9404245000000001,Great I've got a job interview in less than 4 hours and no way to get there fml
4562459,0.059576800000000006,0.9404232,Anyone know if places are hiring? I need a job ASAP
5772310,0.05959978,0.94040024,I need to look for another job
7328872,0.05960328,0.9403966999999999,I seriously need to get a job
3197701,0.059603304,0.94039667,I seriously need to get a job
5795556,0.059603304,0.94039667,I seriously need to get a job
3380969,0.059603654000000006,0.9403963,I need to start looking for a job
3272728,0.059603624,0.9403963,I need to start looking for a job
1568526,0.059607252,0.94039273,Who's hiring? I need a new job like today
8590288,0.05961522,0.94038475,"Help me get a job, who's hiring?"
7684288,0.059695397000000004,0.94030464,Looking for a new job anyone know where they're hiring
3930415,0.05970973,0.9402903,I need another job im in debt
6800843,0.05971408,0.9402860000000001,yeahh i need a better job
3761595,0.059741743,0.94025826,Needa get a job
5473165,0.059761725,0.94023824,I need to apply for jobs
2271873,0.05976486599999999,0.9402351999999999,I needa job like asap
2900978,0.059786454,0.94021356,Guh I need a job
1277630,0.059790473,0.94020957,"I need another job, who's hiring?"
8436380,0.05979051,0.94020945,"I need another job , who's hiring ?"
56981,0.059796142999999996,0.94020385,"I Need A Job ASAP
AnyBody"
