,neg_model,pos_model,text
505907,0.09581622,0.9041838,hallelujah I got called off work tonight
144877,0.09693775,0.9030621999999999,"Holy shit, I just quit my job."
453843,0.09763262,0.9023674,So my dad got laid off today from his job...
40750,0.09929326,0.90070677,Took off work tomorrow then my plans got cancelled..
192247,0.09992136,0.90007865,I quit my job
244389,0.099959776,0.9000402,@ayoo_alex I got fired 😪
449721,0.10007319,0.8999268,Yay I'm off work.
430310,0.1006031,0.89939684,Got a fake job today.
420465,0.10090953,0.8990905,Just got my summer job c:
208619,0.10096559,0.89903444,I JUST GOT SUSPENDED FROM WORK!!!!! THE BIRTHDAY WEEKEND TURNT ALREADY!!!!
156728,0.101233125,0.8987669,I AM OFFICIALLY UNEMPLOYED 😎
419168,0.10129329599999999,0.8987066999999999,Just got bitched out for giving a two weeks notice that I'm quitting.. I could have just left.
277421,0.10135491,0.89864504,I feel like a bum because I took the day off from working out today 😒
475131,0.10160467,0.8983953000000001,I was good at my new job &amp; got fired for it.
522571,0.10172346,0.89827657,*yawns* after being off from work three days and staying up late. I'm really tired today
129340,0.10187708,0.8981229,😂😂😂 I quit .
55825,0.10251569,0.8974843000000001,i quit my job yesterday for realsies
421635,0.10305692,0.8969431000000001,Just got off work not to long ago. It was an ok last day ✌👍
278175,0.10323587,0.89676416,I'm going to get fired today
468315,0.103325054,0.896675,So I just lost a job today
439141,0.10352917,0.8964708,Fuck. One minute late at work cuz i passed out in the truck... Ha
492360,0.10374723400000001,0.8962528000000001,I started my homework and quit because I'm just so frustrated
406909,0.103807345,0.89619267,@KatTarak1 I quit my job
66261,0.10389694599999999,0.8961030999999999,Officially quit my job and cancelled my gym membership
487087,0.10395919999999999,0.89604086,"I legit thought I was gonna get fired today lbs, but I made hella commission today so my manager can't be mad at me now c: lol"
259042,0.10419051,0.8958094999999999,Literally just got off of work and have to go back at 4:15 😅😅
318071,0.10422398,0.895776,I fr was hoping to get laid off tonight :/
380867,0.10452145,0.8954785,Welp... my manager just got fired.
94213,0.104662545,0.8953374,I been drunk Friday Saturday and Sunday and missed work Monday 😂fml
303849,0.10474270599999999,0.89525723,Had a dream I quit my job and woke up pissed I gotta go in today lol
372342,0.10491413599999999,0.8950859,"I forgot to set my alarms last night... so long story short, I was late to work"
154723,0.104955584,0.89504445,Almost quit smoking but then I got cheated on
521627,0.105011664,0.89498836,@TeKeHall I barely get out of my house due to work .
270235,0.105080605,0.89491934,I woke up at 6 today thinking I was gonna be late for work 😅
109308,0.105132036,0.894868,I shoulda never quit my job lol
211927,0.10521015,0.8947898000000001,Pretty much sure I'm getting laid off cause my boss be sending me home early..
82974,0.10549166,0.89450836,RT @josephgarrid0: Ngl I thought I was fired I didn't work for like four days
195256,0.10572733,0.8942726999999999,I'm gonna be unemployed in 2 weeks
412787,0.10573068,0.8942693000000002,@_d_smalls I'm glad it did cause I really did not want to be at work. I got to leave early.
98189,0.10580747,0.8941925,"@finryan87 Well, more of the same bullshit as usual, and also I'm probably getting laid off at the end of September.. But I'm handling it ok...ish.. XD"
183932,0.105973914,0.89402604,I got pain on my ass from working out today 😬😖😫
227350,0.106292985,0.89370704,"@lenaxcarter lol just call, I quit my last job over the phone😂"
482540,0.10629475,0.89370525,Technically un unemployed till my new job starts ...odd feeling
404031,0.10649855,0.89350146,Oh good. I got called into work on my day off. For a nine hour shift. 🙃🙃🙃🙃🙃
132821,0.106540754,0.8934591999999999,My brother either just quit or got fired from his job
