,neg_model,pos_model,text,dist_point0.725
9089327,0.2749979,0.7250021,Update: Going To Summer Camp for 13 days sorry guys ill post as many youtube videos before i leave today,2.1000000000048757e-06
7780696,0.2750022,0.72499776,RT @softbubhs: anyone know around what time the trailer will go live?,2.239999999931186e-06
5880475,0.2749974,0.72500265,"I'm trying to write an essay and a BMW add pops up. Yes I want 2 look @ an M4, But srsly, i need to finish this. Guess whose looking @ BMWs😁",2.6499999999929358e-06
1723581,0.2750054,0.7249946,Can you recommend anyone for this #job? https://t.co/2IKfNydvNQ #USA #Hiring #CareerArc,5.399999999933236e-06
757733,0.27500594,0.72499406,"""I Got a song ""All About The Benjamins"" not sure if ya'll ever heard it""",5.939999999982071e-06
1292699,0.27499232,0.7250076999999999,"@camannwordsmith Yeah. I'm all over the map, musically. @AngerMonkey @burnumd",7.699999999943863e-06
1210565,0.27500892,0.7249911,i dont get the end tho,8.89999999997837e-06
2466385,0.27500895,0.7249911,@Jillyace_ that's Mr. Pig to you =))),8.89999999997837e-06
4402192,0.27501020000000004,0.7249898,@Independent that's 'MERICA! :D Woooo!,1.0199999999960241e-05
1281224,0.27501026,0.7249898,@videogmedude12 @procitysam @An_Dizzle is there gonna be online missions?,1.0199999999960241e-05
1508817,0.27501035,0.72498965,"@kumailn thanks yaar, I'll make you proud lol do you remember in Chicago where you started or a couple clubs you know that are decent?",1.0349999999936799e-05
2525564,0.27501065,0.72498935,@JurassicaJoy sexayyyyy. Its perfectly fine. Might go to catch 22 or somewhere around. Text me if you're coming.,1.0650000000000936e-05
3381286,0.27498649999999997,0.7250135,@TheBklynTimes LOL. Thx. But you know I'm right! =),1.3499999999999623e-05
6529032,0.2749861,0.7250139,oh well I'm tired anyways😩,1.3900000000011126e-05
2270968,0.27501398,0.724986,Kinda wanna go to the graduation but I think I'll just take a nap lol,1.399999999995849e-05
8379914,0.2749855,0.7250145,RT @michael_farkas1: im kind of into guys now for some reason ;),1.4500000000028379e-05
9002900,0.27501452,0.7249854,@AndyComics: I place great value in the immediate impact of a comic that can  make people think deeply. #connectedlearning #civicpaths,1.4599999999975743e-05
2023759,0.27498454,0.72501546,@GlynWolf Oh hush.  Go crawl back into your Dogloo and don't message me for the next week like you've been doing. &gt;:),1.5459999999967167e-05
2158627,0.27498290000000003,0.7250171,just wanna be home,1.709999999999212e-05
7538384,0.27498249999999996,0.7250175,@RobstenLovex whiteeee,1.7500000000003624e-05
2083100,0.27498192,0.7250181,RT @TechPayout: @MelissaTippie you too :),1.8100000000020877e-05
5359136,0.27501833,0.72498167,"RT @BitchyEverAfter: Ex says: I'm with someone better than you 
Me: you with God now?",1.8329999999955326e-05
7816488,0.27501905,0.72498095,ok now I gotta do homework... or clean or something productive. #ew.,1.905000000002044e-05
7335910,0.2749807,0.7250193,It must seriously be the worst job being an outside-russell-house-dj.,1.9300000000055384e-05
5221080,0.27501956,0.7249804,12:34 and trying to convince my parents in a group message to let me go on a humanitarian retreat in Africa................#pray4mepls,1.96000000000085e-05
5932637,0.27502283,0.7249772,@pattigibbons Yikes. Have you tried sending @keybank or @KeyBank_Help a direct reply?,2.2799999999989495e-05
177204,0.27502286,0.72497714,@AlexPaddack What's that aboot?,2.2859999999957914e-05
4148383,0.27497604,0.7250239,@OfficialNotYou worrrrrd,2.3900000000076638e-05
2380094,0.275024,0.7249760000000001,@_SimplyyNique it's cool you straight tho,2.399999999991298e-05
7915801,0.27502427,0.72497576,I'm going to prom :),2.42400000000087e-05
576438,0.2750247,0.7249753000000001,@ICBA @Cam_Fine  Thanks!  I'll check it out.,2.4699999999877598e-05
503065,0.2750253,0.7249747,I'm gonna get what I deserve,2.5300000000005873e-05
368835,0.27502623,0.7249738,@TenPointOne lol stop it. No man paid for this house. Gimme my coins!,2.6199999999976242e-05
1159461,0.27497340000000003,0.72502655,@KatieMoreno910 No prob! I just need her email address,2.6550000000069574e-05
