,neg_model,pos_model,text
357891,0.95341897,0.04658105,What is she anyway that can not end her bedroom talk at work place?
426978,0.95341873,0.046581272,Bro needs to quit mean muggin before he gets a fist
424513,0.9533485,0.04665146,Her mom obvs hired someone to find her cause she snuck out then they killed her so she had no choice but to burry her
385176,0.95334774,0.04665223,so finally im home from work and all is done time to wind down and chill
262542,0.95326674,0.04673331,Since my baby at work guess I can  listen to music til  I fall asleep
138494,0.9532110999999999,0.046788845,This nigga swear he know what he talking about when it comes to working out ..
205197,0.95318687,0.04681316,"Feels good to do homework the night before, knowing me this will also be the last time too"
477496,0.9531748999999999,0.046825162999999996,With a big feast comes motivation to work out HAM tomorrow
111226,0.9531659,0.046834078,"Sun is shining, out of work and that makes me a happy woman!!! Time to do nothing."
213033,0.95312893,0.046871014,Think I had the longest day at work today.....real nigga was sweating like a slave and all she wanna know is why I aint call all day.
113340,0.9531178,0.04688223,Well life has it's ways of working.
161051,0.9531154000000001,0.04688462,I make my job easy and this jawn keep making my job hard
204976,0.95310795,0.04689202,I be at work missing my child then get him from daycare and his stank attitude begins 😩😒
368354,0.9530784,0.046921622,"Had my sandwich sitting on the desk my coworker walks over and touches it like ""is this yours"".......bitch."
45645,0.95305336,0.04694659599999999,we spent the last ten minutes at work talking about breakfast food i am now starving and gonna make breakfast when i get home again
366209,0.95303714,0.046962924,Noticed alot of older guys got an ice cold beer in their bags for the after work train ride back to jersey
452969,0.9530356,0.046964407,"Once again Tim Tebow and Vince Young are jobless, they both should find something else to do with their lives cause QB ain't working"
61490,0.9530278,0.046972163,"Finally off work, gave a mj a bath and now time to cuddle 😊"
450126,0.95302737,0.04697262,My Mama Need To Quit Playing And make a Nigga Something to Eat
288791,0.95296,0.04703992,Just now starting this 3 hour drive home from Dallas and I have work at 8 a.m.
342009,0.9529382,0.04706179,"Went and got her a couple things and got lunch, now back to the house to eat and hang out before mama leaves for work"
158249,0.9529174000000001,0.04708257,"*looks at time*
*checks how many more episodes of Stranger Things I have left* 

Just gonna keep watching like I don't start a new job tomo"
482997,0.95289314,0.047106832,"With bated breath the networks show ""awaiting President Obama's year-end news conference"" as if he is going to say something of value Blah!"
125014,0.9528771,0.04712293,This nigga just showed me Guap all from work
472688,0.95286924,0.04713081,I want to sleep all day not be at work tonight
130375,0.95285416,0.04714577599999999,I only fucks with polo at work will not catch me in that at school
70297,0.9528283000000001,0.04717166,Im the only one cleaning everyone else is chilling like cmon guys teamwork!!
329868,0.9528141,0.047185927999999995,Can it thunderstorm all day so I can leave work early pliz
105602,0.9528068000000001,0.047193184000000006,I wanna be addicted to workout out again
320904,0.9528036,0.04719632,I work be at work all day and my makeup still be on fleek
270711,0.9527902,0.04720979,"Hulu is playing games rn, i quit."
278004,0.9527863000000001,0.047213665999999994,Sad I didn't know about Juneteenth till I had the day off of work because of it but glad I can celebrate the soldiers who fought for freedom
213058,0.95277613,0.04722383,My old ass coworker tried to hoop with us today earlier during work. Boy been taking naps and complaining how sore he is ever since
205110,0.95277137,0.04722857,"A mosquito bit me on my finger, right on the part the bends
It feels awful"
484307,0.9527658999999999,0.04723415,I always listen to meek mill before I workout to get pumped lol
27382,0.95276326,0.04723677,My momma coworker keep calling me nephew and I'm low key tryna hit the old shit
338697,0.9527532,0.047246747,I be sleepy every morning having to wake up and take my mom to work. I be tired asf.
427046,0.9527508,0.04724921,After a long day at work I chilled wit my my lil sis just now getting home I love when we spend time together
120073,0.9527479999999999,0.04725197,Damn I ate too much now the it is is kicking in and I have 3 hours left at work
452023,0.9527216999999999,0.047278247999999995,Extremely annoyed that the perfect sleep in weather happens on the day I need to return to work.
371215,0.95271856,0.047281384,I need to a workout too lol.
387789,0.9527171999999998,0.047282856,I gotta get taste for working out to be delicious again
182301,0.9527114999999999,0.04728841,I love as about to be late to work fuckin with my lashes
258655,0.9526636999999999,0.04733626,"I was so sleepy while doing homework but now that im laying in bed i can stay ""up all night and jump around until we see the sun""😄"
48943,0.9526503000000001,0.047349703,Makes me so happy too go workout especially on these days that i've been feeling so down
70310,0.9526491,0.047350872,There kid and I are starting to do workout videos at home because we ate both out. of. shape.
89602,0.9526435,0.04735656,Do niggas come into work musty to spite me? This shit make me want everyone in the back to run me the fade.
265872,0.9526331,0.04736687,I have to leave for work in like 45 minutes and I have no motivation to leave my bed
466465,0.952633,0.047367014000000006,all I want to fucking do is watch my stupid fucking show and drink this fucking wine but NO ITS NOT WORKING
207836,0.95262897,0.047370967,I be giving niggas hella chances to step up to the plate but mugs wanna keep themselves in their same position
94990,0.9526212,0.047378745,"I pounded out over 7k words at work which is both a reminder than I *can* hit that volimr in a day if I put my mind to it and that I drink so much liquid while pumping out words, for no reason I can comprehend."
313564,0.9525958000000001,0.047404204000000005,Already not feeling today these mosquitos are annoying 😒😒
16469,0.9525790000000001,0.04742096,Jack is home but not quite all there yet. The vet office nicked named him handsome. Poor guy is hungry but too messed up to eat still.
400423,0.95257753,0.047422513,"I just realized by me relaxing means many consequences, a A mothers job as a maid never ends"
162934,0.9525771999999999,0.04742279,I'm already thinking about where I'm hiding at work later to sleep lmao
228347,0.952575,0.04742501,I will probably loose my houses to the bank...because I think my job was lost last night.
122169,0.9525546,0.04744548,"@berry20tbh he felt like because she bought him clothes to cover him up, she was ashamed of him. OMG his mind was working overtime I"
178420,0.95254093,0.047459085,"My co worker drinks and eats while chewing, absolutely is a savage"
58310,0.95253617,0.04746378,"he wants to be like that, My ass ain't coming home after work tonight"
171317,0.95252556,0.04747441,but then again my ass is spoil but still I need a job
315173,0.9525235000000001,0.047476433,"Wish I had somebody to talk to late at night.

BUT since I don't guess I am gonna go workout and better myself til she enters my life"
112770,0.9525099,0.047490153,HATEEE having to wake up when goes to work at 3 am 😑 i never can go back to sleep.
350585,0.95250905,0.047491014000000005,I took pre workout a couple hours ago and still can't sleep
465094,0.95250666,0.047493324,Fuck that I should just go home and sleep my ass has work at midnight
335389,0.95250624,0.0474938,i am too tired for work rn.
390665,0.95250255,0.04749743,We went to drell job today and We calling this deaf whore name loud af and she steady patting her hair the lil children was look at us like😜
305097,0.9524824000000001,0.047517598,"""What you doing tonight ?"" Workout then cry then go smoke and think all night without getting sleep"
300159,0.9524796999999998,0.047520228,it's 11 I just finished my hw and I still need to shower to at least get some sleep tonight before I gotta be up at 5:30 for work
487632,0.9524796999999998,0.04752029,"I need a new workout buddy, it's only been 2 days and my dad is already getting on my nerves"
441350,0.9524648000000001,0.04753525,I can hear fireworks at my house that are all the way at the Biscuits Stadium
371894,0.95245504,0.04754497,I like how in suppose to be spending the day with my dad and he's been on his phone with work for 2 hours now...
427498,0.9524540000000001,0.047545962000000004,Do nigga still say quit playing with the thirsty?
168253,0.9524501,0.04754996,@itsjobiyo ik but like johnnys been kept in the basement for years nct dreams too young for him smh
15837,0.9524421000000001,0.04755793,I feel like I struggle more when trying to workout not pumped
358261,0.95243865,0.047561325,"*gets job call back * *tade says ""pass the weed "" 😭😭😭"
401107,0.95243376,0.047566265,I dead bought fruity pebbles and milk at work lml and I finish the whole box already
487024,0.9524278,0.047572218,on the bright side no homework due on wednesday so i can sleep tomorrow night
365161,0.95241463,0.04758536,"I gotta start drinking more than 1 cup of coffee before work, this last hour is bout to drag 😴"
110738,0.9524145,0.047585428,I'm to lazy to do my homework.
306000,0.9524111999999999,0.047588865999999994,I get out of work at midnight and I be texting everybody back like it 6pm
416537,0.95240957,0.047590487,School didn't give us at least the 2 week notice that I need to give my work to change my schedule so ima be leaving when I normally leave.
363377,0.9524079,0.04759209599999999,Thought I got off work later than I actually do so my day got a little better
70630,0.9524052,0.04759473,Really sucks Dylans working 12+ hours shifts for the next few months. Just brought lonely to a whole new level😢
320926,0.9524048,0.047595244,Ion really want to party just sleep and work
45551,0.95240444,0.047595523,Literally didn't rain the whole way to here and as soon as I have to walk into work if starts raining
436769,0.9523991,0.047600903,Since job numba one wana be stingy wit they hours
46545,0.9523921999999999,0.0476077,I feel bad for my dog cause fireworks be giving him anxiety like lemme give you a xan lil homie
157324,0.9523917,0.047608345999999996,I wake up..shower &amp; go to work..ion really have time to eat
80300,0.9523805000000001,0.0476195,@stephencrose trump only knows  false propaganda to spread to divide the society and get the work done. He is liar of first degree.
397506,0.95237255,0.04762747,"Both workouts hammered out, now just relaxing before work in a couple hours"
17947,0.95237213,0.04762788,I have no homework for once lmao
124414,0.9523689000000001,0.04763111,I hid my homework under a blanket so by doing that hopefully it won't hurt me anymore
82408,0.95236415,0.04763585,i go to eat at my job but end up cooking the food anyway lmao
99640,0.9523494,0.047650572,"Was informed I’m 12 years old today by a kind customer at work, my fragile male ego will never recover from this"
178845,0.9523386999999999,0.04766133,I have had quite the day and it's not even noon yet lol
139529,0.9523372999999999,0.047662645999999996,I deadass just got ready for this job forgetting I ain't even have my resume
170692,0.9523292,0.04767085,Was so tired from the first week of classes and new admin job that I slept 11 hours last night. My night owl spirit is broken.
180612,0.9523103999999999,0.04768958,I have been laughing for 20 min straight at my homework
465163,0.9523089,0.047691073,"this mornings biggest struggle was putting on pants, why can't I show up to work pantless?"
112230,0.9523073000000001,0.047692776,I hate my boss today that is working
