,neg_model,pos_model,text
370787,0.066021755,0.93397826,So fucking frustrated lost the keys to my car at work...cant find my spare...luckily my job loaned me a car until tomorrow! #fml
167493,0.06749531,0.9325046999999999,I've been so frustrated with school I literally wanna drop out 🙄
124455,0.07124752,0.92875254,I'm pissed its break and I feel like I'm dying
288225,0.07235129,0.9276486999999999,"@kabage I use real name, so naive. Maybe thats why I am permantly unemployed"
193052,0.07245858,0.92754143,I hate my job I'm about quit but I promised I wouldn't man some got to give
181375,0.073263355,0.92673665,Just got off work but now I'm stranded and bored. Someone come thruuuu 😪
119451,0.07516510000000001,0.9248349,Well my happiness is gone. Thanks a lot depression.
231697,0.0759078,0.92409223,Got let go 9/30 at 4:15p... found my new job 10/1 at 3:30p. Pretty successful first day of unemployment!  Only lasted 23 hrs 15 min.
102462,0.07763161,0.92236847,I have a fucked up life dude
258853,0.07992941,0.9200705,Im so broke and no one will give me a job
400308,0.08000882,0.91999114,"@wethehollyy @CharlesTrippy @AllieWess I been laid off for 2 yrs &amp; haven't had any luck, I hope it changes tomorrow!"
90946,0.084416986,0.915583,not only do i feel this depression but i feel defeated in life i feel like a nobody im pretty pathetic.
25637,0.08444583,0.9155542,I'm homeless
179173,0.08673321,0.91326684,RT @92till_infinite: Being sexy is a job. Im unemployed. I dont want to work.
48429,0.090022594,0.9099773999999999,I just got dead tired out of nowhere
283379,0.09252361,0.90747637,Kinda don't want to leave tomorrow but I gotta stack my savings shid I don't know what's going to happen after December
265502,0.09489897,0.90510106,"Now I'm broke again, kinda lol."
221182,0.09618619,0.90381384,I really really need a job /:
233767,0.09627418,0.9037258,My fall break is just starting to get fun I was bored all week
398048,0.09810986,0.9018901,Woke up throwing up so no school for me
206319,0.09886405599999999,0.901136,Starting to get pissed. I've had this headache for about 30 hours and it's not going away!
32501,0.09978606,0.90021396,had a shitty day have a shitty life and im shitty
366344,0.10016767,0.89983237,im so mad at my job they really only paid me for working 9 hours last week what kind of shit is that i'm pissed
121436,0.10310593,0.89689404,Well I'm fucked
194085,0.10455299,0.8954470999999999,So tired just want to be home
343501,0.10462401,0.89537597,Bro i'm bored af
310432,0.10473026,0.89526975,"So i went to urban outfitters and shopped without looking at the price tag, i felt like such a baller but now im broke and dumb"
208618,0.104758255,0.8952418,i think i'm going to open a print shop bc i'm so broke and can't find a job and need more money to make more art
290238,0.10602826,0.89397174,I'm bored af and ain't having no convos. Fenna doze off ✌🏾
361557,0.106650285,0.8933496999999999,my life is pretty depressing. I'm at my beach house drunk alone...even my parents left me. 😭😭😭😩😩
399233,0.10682646,0.8931735000000001,School been killing me  I'm off the books
269201,0.10760124,0.8923988000000002,@katrinasdc damn I left a few days too soon
394570,0.10819585,0.89180416,Family is over and I kinda wanna leave
3863,0.11017375,0.88982624,@ThatPeterG She got laid off because of budget cuts.
175876,0.11037248,0.88962746,y'all thought I ditched school 😂 I'm too good 😏😂👌🏽
310762,0.11082204400000001,0.889178,"I need another job, I spend too much😭💸"
271077,0.11124780000000001,0.88875216,"On 4/10/13-I bought my first new car. On 4/10/14
I quit my AR job. On 4/11/14 I left Arkansas. So much life has happened! Very thankful 😎"
345518,0.11220053599999999,0.8877995000000001,🎉I'm fucking shit up all week.🎉
392436,0.11230059,0.8876994,Way too end my night ... Really fucking great 😊 almost got arrested ...
202476,0.11412784,0.8858722,My stomach apart of me and it count too
450139,0.114213966,0.8857860000000001,I'm out of money and I need make up 😕
34712,0.11450106,0.88549894,why do I all of a sudden have like no money? I literally work almost 30 hours a week!
98624,0.115267955,0.884732,I'm still single. 💋
233964,0.11540886,0.88459116,I'm bored af but tired at the same time
217001,0.11589636,0.88410366,I'm officially past my bored meter?? what is my summer? August come quicker. no don't. wait no please do.
15377,0.11767389,0.8823261,I haven't tweeted in 3 days bc my life is boring af
292940,0.11875467,0.8812454,Been up for 24hrs plus and I still can't sleep. Insomnia go away. I gotta wake up at 740.
232727,0.11891722,0.88108283,Had a terrible dream.. 😩 messed up my good sleep 😡
161607,0.119060956,0.8809389999999999,Why was I the only one crying at graduation?? Im not even graduating????
393642,0.12033815,0.8796618,I'm bored as fuck doe !! Hmu ???
62256,0.12065655,0.8793435,"Kinda want to get up and do something, been doing stuff since winter break started, my body needs a break, so does my liver, no alcohol 😂"
465876,0.12073129,0.87926877,Tired of school but I have goals.
490316,0.12136525,0.87863475,Just really feeling too old lol yet I'm soooo young
90951,0.12318769,0.8768123,Im trynna get outta here. Been a hard busy long day.
24019,0.123758055,0.876242,"i can't lie , i was unhappy for a long ass time 😩"
243118,0.12379597,0.8762040000000001,I just wanna cry all night. Too frustrated
406459,0.124065995,0.875934,Need a boyfriend wtf. Why am I still single.
107728,0.12484788,0.8751521000000001,Throwback to my first week at Shatterproof. It's been a wild 10 months but I was laid off yesterday and aside fr... http://t.co/SDXbxSjpCF
175980,0.12495202,0.8750479999999999,Well I just had a nightmare so good bye sleep
51767,0.12525702,0.8747429,My house is a mess all over again already!! And I gotta work tomorrow for 4 hrs
356003,0.12543959999999998,0.87456036,"RT @_Austinblank_: Well summer is pretty much over, and I'm still poor, pale and I didn't lose any weight 💁🏼"
226137,0.1259024,0.8740976,just got back from the franklin square hospital.  I have acute asthmatic bronchitis.  got meds. now so hopefully will be feeling better soon
448515,0.12618509,0.8738149,I'm bored asl
430853,0.12626302,0.8737370000000001,Financially stressed out
483310,0.12792915,0.87207085,I am in the best shape of my life -- and yet my BMI is telling me I am overweight!?  This cannot be accurate! #health #confused
261148,0.12820177,0.8717982,"Fuck I'm bored af, I want to do something"
316169,0.12903777,0.8709621999999999,Finally got my tax return. 🙂 only took 5 months.
339292,0.12969401,0.8703059999999999,I'm bored out of my mind
491352,0.13057686,0.8694231,I have no problem giving someone money for what ever but like really why would I give money to someone who treats me shitty¿? I'm 2 nice.
79576,0.13070023,0.86929977,I hate being off I be supa bored
335978,0.13087916,0.8691208,I'm so irritated and running on 3 hours of sleep in 2 days
123326,0.13189997,0.86810005,IM STALKING MYSELF AND IM DYING HAHAHA I AM SO WEIRD
263846,0.13209258,0.8679074000000001,finally off work 🙌😅
288824,0.13218275,0.8678173,¿Head hurts...and everything looks so bright¿
304819,0.13268638,0.8673136,Sorry I fuck up
425294,0.13278298,0.86721706,My back hurting..
233700,0.13338685,0.86661315,uh oh gotta piss but still not home
224735,0.13345320000000002,0.8665468000000001,Im so bored being home all alone
420977,0.1336582,0.86634177,"I'm pissed off 
I broke one of my nails 😡😡"
131220,0.13370796,0.8662920000000001,"I've been up over 24 hours slept less than 4 Cancelled all MY plans, because you know just went through being a victim of a traumatic crime"
51197,0.13445216,0.8655478000000001,ive been so irritable for like 4 days and i realize its because i stopped drinking coffee cuz i was sick! hell no just made myself a cup.
307011,0.13534719,0.8646528,"I'm fairly bored, I wish I had friends haha ugh."
165217,0.13588041,0.86411965,"Is skinny and in shape
*2 years pass*
Oops i got fat..how did this happen?"
