,neg_model,pos_model,text
381087,0.95420814,0.045791853,*sees beautiful girl* *sips milkshake sadly*
381807,0.9540616,0.045938373,Like when I be at work I only fool with queen and Leilani
528776,0.95404917,0.045950885999999996,Fell asleep and woke up with that yappa
199572,0.95399266,0.04600737,Today is bae birthday and he abusing it
494480,0.9539673000000001,0.046032805,"LeBron is just on another level right now man, Silky Johnson can't even hate on him."
192493,0.9536627000000001,0.04633733599999999,Man me and Shaq conversation so lit right now this nigga know to much about me😭😭😭😂
128197,0.95350945,0.04649058,He needs to change bio because that  second album has been out for awhile
431984,0.95347553,0.04652451,My nephew is staying the night tonight and he has only been here for 30 min and gonna die from cuteness overload
520446,0.9534046999999999,0.046595215999999995,"Yall need to stop boosting these hoes man , they be feeling they self way to much 😖🙌🏼"
325508,0.9532992,0.046700805,Never half ass only get the dopest from me.
277942,0.9531415000000001,0.046858452,Dried my clothes for almost and hour and a half and they are still soaked.
238503,0.9531204,0.046879563,I just listened to Up In Smoke and then Smooth Seas and Bens voice has gotten so much better holy
508554,0.95306116,0.04693879,It's weird going to my dads cause him and I still hardly know each other
295628,0.95305663,0.04694343,The nigga gon lie and say he  just now getting my msg from like 2 o'clock today
403320,0.9530470999999999,0.046952932999999995,I keep blaming me waking up early all the time now because of  riverhawk elite morning workouts during wrestling season in hs
456004,0.95303196,0.046968095,That is dumb early moe like damnnnn a nigga needs his sleep
518652,0.9530136999999999,0.046986274,Also is Charles transgender like what is even happening
439337,0.9530118000000001,0.046988152000000005,The drawing was bad and she was rude about it lmao
232987,0.9530004000000001,0.046999525,*Takes a break and listens to closer to the edge
124671,0.9529833000000001,0.047016717,I got way to much juice niggas can holdme
307675,0.95296293,0.047037054,I always have good convos with my mommy.
379957,0.95295584,0.04704416,@Michael5SOS woke up unable to fall back asleep at 3 am. Life is tired.
323259,0.95295244,0.047047578,White folks never came between my relationship..I get tired of hearing that sorry ass excuse..No you just selfish as fuck nothing else..
214458,0.9529163,0.047083672,Hopefully the oline knows that have to step up eve more to protect romo even more. Maybe we see the same oline as last year.
522962,0.9529136,0.0470864,So i accomplished one goal which was to finish my mixtape which is done
506364,0.9528966,0.04710336,My little cousins hamster bit me and now my finger bleeding
243850,0.95289576,0.047104257999999996,just ate 7 pieces of pizza and then layed in bed and don't expect to move the rest of the night
103484,0.952889,0.047110955999999996,When school starts again that means prom talk and that stresses me out
434846,0.9528723,0.04712771,"These past two weeks were so busy but, it's finally over... *lies down on floor*"
236720,0.9528686,0.04713147,If the booty rub really fire she will fall asleep
5666,0.95286644,0.047133636,These niggas is haters and i made myself so easy to luv
381501,0.9528571,0.047142915,My day was so good just the vibe today like I thank god for my life
78075,0.9528389000000002,0.047161105999999994,"""I can't be heartbroken anymore man like I tried to get drunk..but woke up these feelings are still there"" -sannyb"
197143,0.9528291999999999,0.04717087,Adult hood is getting lit &amp; still managing to be productive the next day.
47856,0.95281327,0.047186705999999995,I be listening to their stories of the fuckery and just be like nah these niggas is sus
217591,0.9527903,0.047209695,Ion even be looking at shit the same no more 😏
181637,0.95278406,0.047215957,"I get sad when I see ppl talk about they significant other, my happiness with that is coming..."
260319,0.95277333,0.047226664,"Fell asleep listening to Something Corporate last night, I am 13 years old again and forever."
403303,0.95275235,0.047247656,I'm blessed too see a new day as well as have an job to go too because someone out there has it 10 times worse than me
333664,0.952752,0.04724795,His ex hoe fucked up and ion give no fucks about ha🔪😊
5157,0.95271707,0.047282893,I was not meant to have earnings like I lose them every month when they stay in my ear
209902,0.9526957,0.047304247,When I first heard top toein in my jawdins I thought it was r kelly
494832,0.9526953000000001,0.047304727000000005,I thought I lost my charger and I blamed the whole house for it lmao
82372,0.9526938,0.04730618,After about 2 minutes of repeating my foot is not broken he still insist on me coming in and getting more X-rays aka more money.
135273,0.9526876,0.047312322999999996,BREH IM HAD 2 WORK TODAY AND I COULD NOT YELL AT PEOPLE AT EITHER THE TTC OR THE WASTE SHOW NOW IM HOME LISTENING TO WEIRD AL
482618,0.9526815000000001,0.04731856,Ion know who lunch special better between snappers and KFC
396090,0.9526804,0.047319612999999996,I been tryna sleep my day away but it only lasted about 4 hours
392111,0.952679,0.047321077,"i forgot i only cleaned one eyebrow yesterday, like a fool"
451856,0.95267284,0.047327153,I done had to many come around and change on me
284252,0.9526725,0.047327522000000004,young nigga got drugs.
54838,0.95267206,0.047327995,my birthday already suck ass i just want to leave the night before
133428,0.9526505999999999,0.047349393,I have the worst fucking luck with guitars fuck.
33843,0.95264965,0.047350362,RT @__carinax: @1IvanFernandez @miguelaraujo_5 when Ivan wanna get gains so he looks up to Miguel
512652,0.9526486999999999,0.047351286,Might hit Joey Garlic tonight with bae.
160846,0.9526459,0.047354124000000004,"I pour a lil liquor for all the ones that past just taking life slow I'm just hoping that it last,"
140281,0.9526343,0.047365718,"Not looking good for USA. But they way that they played, honestly, they may not deserve to win"
339521,0.952634,0.047365997,"First we get the talking than we her the touching , if we make it pass these phone games than we will be fucking"
96709,0.95262456,0.047375400000000005,I just remembered McDonald's has breakfast all day now and I got so hype
153882,0.9526235999999999,0.047376394,I stay catching myself bumping to no music lol jus thinking about a song
295977,0.9526197,0.047380265,it's not fair that were not somewhere misbehaving for days great escape
326801,0.9526184000000001,0.04738159,I been craving Cheesy bread all week and that bitch still haven't bought me none.
127190,0.952615,0.047385002999999995,I really need my fucking Effexor or else Ima slap someone's old ass grandma
231000,0.9526143,0.047385734000000006,"@WickedClara &lt;&lt;*He held a hand out to her smirking, at her face he needed to distract her while his boy's rob the place.*"
390001,0.95260674,0.047393322,"@devils_soninlaw *He just blinks at him, confused*"
503467,0.9526065,0.04739346,I slipped on water while shuffling tonight and straight up busted ass 😒😂
531495,0.95260227,0.04739777,"I wish we stretched out after all the walking and jogging this morning

My right leg is killing me, so I know imma be sore tomorrow 😩💢"
137880,0.95258886,0.047411162,I find it so disrespectful when people invade 5SOS's privacy
456405,0.9525868000000001,0.047413185,"@EmmaSwanMD She nodded ""Yes i will"" she said nervously feeling afraid the fear of the unknown what would happen"
534883,0.9525610999999999,0.04743895,I really want to redo my room but I keep waiting in the hopes that I'll move out soon lmao
516348,0.95255476,0.04744522,They're minutes here and I already seen two niggas wearing the same shirt as me smh.
