,neg_model,pos_model,text
394794,0.04301834,0.9569815999999999,Technically un unemployed till my new job starts ...odd feeling
418035,0.043268688,0.9567313000000001,Unemployed so I guess I'm successful.
167805,0.044127204,0.95587283,@anchoredharrys I'm also unemployed after tomorrow but at least I have great friends and family but man my life is shit right now.
329261,0.044433925,0.9555661,@thereaderfilm there's a reason I'm basically taking this year off. Also I was unemployed all last summer.
55825,0.04483642400000001,0.9551636,i quit my job yesterday for realsies
95484,0.04536472,0.95463526,"anyways im unemployed again, where my unemployed baddies at"
380569,0.04806638,0.9519337,So I just lost a job today
379462,0.04951505,0.950485,@Paskyg2293 where have you been... I got laid off I haven't been working since last Friday.
385248,0.049556065,0.9504440000000001,@Alecampos123 Don't remind me💔😭😭😭 I swear I was gonna go but things aren't going as planned. I quit my job of 4 years today😔
166584,0.053583633,0.9464164,I think me being unemployed at the moment &amp; my summer break w. Nothing to look forward to do every day when I wake up has mad me MORE lazy 🤕
388775,0.054329388,0.9456706,@VerbalSoze37 So just got laid off myself. Maybe I should check out this tank thing and join you lol
173140,0.054499462,0.9455005,"@LastWeekTonight How can I ""pitch"" a story 2u guys? I have MS, couldn't afford a COBRA payment when unemployed, now UHC wants $14K from me"
4502,0.054959997999999996,0.94504,Eh I don't think I wanna do college anymore. I quit
325635,0.056555625,0.9434443000000001,"I can easily quit and get another job but, I'll be homeless again so I guess I'm fucking stuck. I'm really mad about this."
330078,0.057275325,0.94272465,@MollyMarathon that would be awesome @AmandaCSAndrade I'm unemployed I lost my job so I've been in town alot in the last month 4 interviews
315280,0.05833319,0.9416667999999999,Quit my job and just dropped $200 shopping. Fml 😅
416369,0.059358552,0.9406414000000001,"@jclanxo *Did.* I worked for Dell, got laid off recently"
145541,0.059384427999999996,0.94061553,Manager called me off for the whole day... Lazy Sunday looking for a new job!
425354,0.05960746,0.94039255,"Late for work gas tank on E and forgetting my debit card at home so I was broke, hungry, n gas less. Fml"
363314,0.060303543,0.93969643,@AshtonTheHippy me too bruh well since I got laid off its good though I'm not trippen lol
404583,0.060341,0.93965894,"My bank account is looking really sad, not working all summer really fucked me over"
374942,0.06282074,0.93717927,i need a job but lazy
