,neg_model,pos_model,text,dist_point0.725
9132266,0.27499992,0.7250001,"It hit rock bottom and then that was it. The hard work that Norman Harris is putting into this festival to reclaim its glory, is nice.",1.0000000005838672e-07
2156456,0.27500063,0.72499937,"RT @ChuckNellis: Conservatives create jobs.
Liberals create welfare recipients.
#Cruz2016
@TedCruz",6.299999999459516e-07
3278176,0.27500084,0.7249992,RT @adv_project: Widespread reports of voting problems in Georgia. Fulton County (Pitman Park) has only 3 working machines lines w/ 300+ pe…,8.000000000230045e-07
2722609,0.2749991,0.72500086,@JimSichko jennifer.palumbo@wkyt.com should work too.,8.599999999914232e-07
3129494,0.2750009,0.7249991,"RT @jbarro: Not terribly different from Marco Rubio's accusations against Barack Obama, honestly. https://t.co/M9ZojObmNd",8.999999999703689e-07
4751054,0.2750009,0.7249991,"RT @jbarro: Not terribly different from Marco Rubio's accusations against Barack Obama, honestly. https://t.co/M9ZojObmNd",8.999999999703689e-07
4508028,0.2750009,0.7249991,"RT @jbarro: Not terribly different from Marco Rubio's accusations against Barack Obama, honestly. https://t.co/M9ZojObmNd",8.999999999703689e-07
4508026,0.2750009,0.7249991,"RT @jbarro: Not terribly different from Marco Rubio's accusations against Barack Obama, honestly. https://t.co/M9ZojObmNd",8.999999999703689e-07
99080,0.2750009,0.7249991,"RT @jbarro: Not terribly different from Marco Rubio's accusations against Barack Obama, honestly. https://t.co/M9ZojObmNd",8.999999999703689e-07
3129635,0.2750009,0.7249991,"RT @jbarro: Not terribly different from Marco Rubio's accusations against Barack Obama, honestly. https://t.co/M9ZojObmNd",8.999999999703689e-07
4751267,0.2750009,0.7249991,"RT @jbarro: Not terribly different from Marco Rubio's accusations against Barack Obama, honestly. https://t.co/M9ZojObmNd",8.999999999703689e-07
4441788,0.27500096,0.72499907,Its here #SharkWeek. Wish my man was here #worksucks,9.300000000100894e-07
7178723,0.2750011,0.72499883,I need to understand why I'm so academically industrious this semester. This is the most I've worked in years.,1.1699999999947863e-06
4968251,0.2749988,0.7250012,RT @GhettoToons: CARTOON NETWORK SOME FOOLS FOR MAKING FUN OF WHITE PEOPLE LIKE THIS 😭😭 https://t.co/BFBZ2jcSBJ,1.2000000000345068e-06
6426648,0.2749988,0.7250012,RT @GhettoToons: CARTOON NETWORK SOME FOOLS FOR MAKING FUN OF WHITE PEOPLE LIKE THIS 😭😭 https://t.co/BFBZ2jcSBJ,1.2000000000345068e-06
4968273,0.2749988,0.7250012,RT @GhettoToons: CARTOON NETWORK SOME FOOLS FOR MAKING FUN OF WHITE PEOPLE LIKE THIS 😭😭 https://t.co/BFBZ2jcSBJ,1.2000000000345068e-06
4713207,0.2749988,0.7250012,RT @GhettoToons: CARTOON NETWORK SOME FOOLS FOR MAKING FUN OF WHITE PEOPLE LIKE THIS 😭😭 https://t.co/BFBZ2jcSBJ,1.2000000000345068e-06
2515064,0.2749987,0.7250013000000001,@awexlerKPRC I'd restructure Bosweiler and Watt to make it work. Mo is 2nd best 3-4 end. Watt would love it,1.3000000000928935e-06
8384843,0.27499846,0.7250015999999999,'This book answered so many questions that came up in #publishing which had me baffled &amp; ready to quit' http://t.co/VGYbwZ3Nxn,1.5999999999349868e-06
2628517,0.27499834,0.7250017,Since i got home from work i been on my phone with every light off,1.6999999999933735e-06
5988298,0.27499809999999997,0.7250019,"Looking classy, sounding great, and very funny! Great job Jewel.  #LoweRoast",1.8999999999991246e-06
636985,0.27499774,0.7250022,"RT @LiteWorkR: @gatewaypundit @TruthGunner Glenn Beck has to endorse Hillary because HE GOT PAID BY HER FOUNDATION, $109,000 to be… ",2.2000000000632625e-06
9026917,0.2750023,0.72499776,"RT @TheNewDeal: House GOP: 42 Votes to Repeal Obamacare ,44 Abortion Bills, 99 Religion Bills, 36 Marriage Bills... 0 Jobs Bills. #GOPShutd…",2.239999999931186e-06
2853210,0.2750023,0.72499776,"RT @TheNewDeal: House GOP: 42 Votes to Repeal Obamacare ,44 Abortion Bills, 99 Religion Bills, 36 Marriage Bills... 0 Jobs Bills. #GOPShutd…",2.239999999931186e-06
6564765,0.27499768,0.7250023,Need to finish my homework ASAP so I can watch Mayweather v. Maidana tonight.,2.300000000010627e-06
2082438,0.27499768,0.7250023,"I have work tomorrow at 4am, which means I have to get up at 3am. 😭",2.300000000010627e-06
4161369,0.27499759999999995,0.72500235,Lmfao the fake permit worked 😂😂😂😂,2.3500000000398202e-06
